ALTERNATIVE_ID,SOURCE_CAMPAIGN,UBIGEO,DISTRICT_NAME,CROP_CODE,CROP_STD,CAMPAIGN_MONTH_ORDER,CALENDAR_YEAR,CALENDAR_MONTH,YEAR_MONTH,SIEMBRA_HA,CAMPAIGN_TOTAL_HA,WITHIN_CAMPAIGN_SHARE,OBSERVED_ZERO_FLAG,SOURCE_MISSING_FLAG,EMPIRICALLY_REALIZED,REFERENCE_CONFIGURATION_ROLE
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,1,2020,8,202008,135,330,0.4090909090909090909090909091,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,2,2020,9,202009,8,330,0.02424242424242424242424242424,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,3,2020,10,202010,0,330,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,4,2020,11,202011,0,330,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,5,2020,12,202012,0,330,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,6,2021,1,202101,0,330,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,7,2021,2,202102,50,330,0.1515151515151515151515151515,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,8,2021,3,202103,128,330,0.3878787878787878787878787879,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,9,2021,4,202104,9,330,0.02727272727272727272727272727,FALSE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
C0B5-A2020-2021,2020/2021,200101,PIURA,14010020000,ARROZ,10,2021,5,202105,0,330,0,TRUE,FALSE,TRUE,EMPIRICALLY_REALIZED_TRANSIENT_REFERENCE_CONFIGURATION
