UBIGEO,DISTRITO,AREA_HA,FUENTE
200101,PIURA,9069.581826761658,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200104,CASTILLA,14318.670871168899,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200105,CATACAOS,11242.407313147127,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200107,CURA MORI,6088.7068606422545,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200108,EL TALLAN,4189.449491206324,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200109,LA ARENA,7249.6862821467475,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200110,LA UNION,4597.815219806408,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200111,LAS LOMAS,13279.723298316321,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200114,TAMBO GRANDE,65481.94014926772,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200115,VEINTISEIS DE OCTUBRE,427.3731721496096,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200201,AYABACA,82408.95968305676,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200202,FRIAS,31460.50842528882,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200203,JILILI,6884.900845030339,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200204,LAGUNAS,4939.5438334589135,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200205,MONTERO,9690.246363465389,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200206,PACAIPAMPA,46911.673753385636,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200207,PAIMAS,6364.338774018681,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200208,SAPILLICA,16072.460211567792,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200209,SICCHEZ,2984.0350068210323,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200210,SUYO,15895.44548318698,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200301,HUANCABAMBA,33197.75741469136,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200302,CANCHAQUE,13729.381228211809,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200303,EL CARMEN DE LA FRONTERA,16632.188615297742,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200304,HUARMACA,47735.80602861057,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200305,LALAQUIZ,10444.04907957854,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200306,SAN MIGUEL DE EL FAIQUE,8853.173695866411,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200307,SONDOR,11436.854170318578,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200308,SONDORILLO,11023.264454620228,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200401,CHULUCANAS,24896.226483674018,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200402,BUENOS AIRES,4676.371567759859,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
200403,CHALACO,12660.152790755268,Interpretación de imágenes Planet y Google Earth. DGESEP - MIDAGRI (2024)
