UBIGEO,COD_CULTIVO,CROP_STD,CULTIVO_SOURCE,ANO,PRODUCCION,HARVEST_AREA,SOWN_AREA,PRECIO,VERDE_ACTUAL,YIELD_RAW,YIELD_UNIT,AREA_HA,MONTHS_PRESENT
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,10010.0,635.0,0.0,1.0185014985014986,635.0,15.763779527559056,UNRESOLVED,9069.581826761658,12
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,7999.0,649.0,139.0,1.7136392049006126,703.0,12.325115562403697,UNRESOLVED,9069.581826761658,12
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2018,6809.0,564.0,73.0,1.0761051549419884,776.0,12.072695035460994,UNRESOLVED,9069.581826761658,12
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2019,11037.0,564.0,0.0,1.2397753012594002,776.0,19.569148936170212,UNRESOLVED,9069.581826761658,12
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2020,12618.0,776.0,0.0,0.9593596449516564,776.0,16.260309278350515,UNRESOLVED,9069.581826761658,12
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2021,15736.0,564.0,0.0,0.9836108286731062,776.0,27.900709219858157,UNRESOLVED,9069.581826761658,12
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2022,6255.0,564.0,40.0,1.4263613109512392,816.0,11.090425531914894,UNRESOLVED,9069.581826761658,12
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2023,7700.0,1024.0,312.0,1.990509090909091,1024.0,7.51953125,UNRESOLVED,9069.581826761658,12
200101,13010210000,MANGO,MANGO,2016,2668.0,619.0,73.0,1.5,692.0,4.310177705977383,UNRESOLVED,9069.581826761658,12
200101,13010210000,MANGO,MANGO,2017,15708.0,619.0,124.0,1.4713521772345302,816.0,25.376413570274636,UNRESOLVED,9069.581826761658,12
200101,13010210000,MANGO,MANGO,2018,19485.0,619.0,40.0,1.449389273800359,856.0,31.478190630048466,UNRESOLVED,9069.581826761658,12
200101,13010210000,MANGO,MANGO,2019,8885.0,619.0,212.0,1.231254924029263,1068.0,14.353796445880452,UNRESOLVED,9069.581826761658,12
200101,13010210000,MANGO,MANGO,2020,11005.0,1068.0,0.0,1.9471694684234437,1068.0,10.30430711610487,UNRESOLVED,9069.581826761658,12
200101,13010210000,MANGO,MANGO,2021,8044.0,619.0,0.0,1.4451317752362007,1068.0,12.995153473344104,UNRESOLVED,9069.581826761658,12
200101,13010210000,MANGO,MANGO,2022,20591.0,1124.0,56.0,1.1718741197610605,1124.0,18.319395017793596,UNRESOLVED,9069.581826761658,12
200101,13010210000,MANGO,MANGO,2023,15245.0,1039.0,60.0,1.280042636930141,1099.0,14.672762271414822,UNRESOLVED,9069.581826761658,12
200101,14010020000,ARROZ,ARROZ,2016,6945.0,761.0,626.0,1.2805183585313176,151.0,9.126149802890932,UNRESOLVED,9069.581826761658,12
200101,14010020000,ARROZ,ARROZ,2017,1592.0,195.0,586.0,1.4535678391959799,167.0,8.164102564102564,UNRESOLVED,9069.581826761658,12
200101,14010020000,ARROZ,ARROZ,2018,1764.0,222.0,167.0,1.2175510204081632,112.0,7.945945945945946,UNRESOLVED,9069.581826761658,12
200101,14010020000,ARROZ,ARROZ,2020,520.0,52.0,330.0,1.26,390.0,10.0,UNRESOLVED,9069.581826761658,12
200101,14010020000,ARROZ,ARROZ,2021,4264.0,518.0,187.0,1.2416979362101315,59.0,8.231660231660232,UNRESOLVED,9069.581826761658,12
200101,14010020000,ARROZ,ARROZ,2022,137.0,21.0,21.0,2.61,59.0,6.523809523809524,UNRESOLVED,9069.581826761658,12
200101,14010020000,ARROZ,ARROZ,2023,1096.0,128.0,158.0,1.519872262773723,10.0,8.5625,UNRESOLVED,9069.581826761658,12
200101,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2016,92.0,23.0,25.0,1.2254347826086955,2.0,4.0,UNRESOLVED,9069.581826761658,11
200101,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2017,67.0,14.0,33.0,1.3477611940298506,21.0,4.785714285714286,UNRESOLVED,9069.581826761658,12
200101,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2018,330.0,67.0,56.0,0.9821818181818182,10.0,4.925373134328358,UNRESOLVED,9069.581826761658,12
200101,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2019,101.0,18.0,18.0,1.0665346534653466,10.0,5.611111111111111,UNRESOLVED,9069.581826761658,12
200101,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2020,311.0,69.0,69.0,1.2305466237942122,10.0,4.507246376811594,UNRESOLVED,9069.581826761658,12
200101,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2021,365.0,72.0,84.0,1.5283561643835617,22.0,5.069444444444445,UNRESOLVED,9069.581826761658,12
200101,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2022,806.0,197.0,175.0,1.6596774193548391,0.0,4.091370558375634,UNRESOLVED,9069.581826761658,10
200101,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2023,446.0,92.0,112.0,1.2808744394618834,0.0,4.8478260869565215,UNRESOLVED,9069.581826761658,12
200101,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2016,2665.0,282.0,142.0,1.1085365853658538,282.0,9.450354609929079,UNRESOLVED,9069.581826761658,12
200101,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2017,1998.0,348.0,136.0,1.1380480480480482,348.0,5.741379310344827,UNRESOLVED,9069.581826761658,12
200101,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2018,4568.0,349.0,1.0,1.2804049912434325,349.0,13.088825214899714,UNRESOLVED,9069.581826761658,12
200101,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2019,4272.0,349.0,0.0,1.3201779026217229,349.0,12.240687679083095,UNRESOLVED,9069.581826761658,12
200101,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2020,4277.0,349.0,0.0,1.5663549216740706,349.0,12.255014326647565,UNRESOLVED,9069.581826761658,12
200101,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2021,5927.0,349.0,0.0,0.9557010291884597,349.0,16.982808022922637,UNRESOLVED,9069.581826761658,12
200101,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2022,5490.0,352.0,25.0,1.1278907103825135,374.0,15.596590909090908,UNRESOLVED,9069.581826761658,12
200101,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2023,2767.0,374.0,0.0,1.210238525478858,374.0,7.398395721925134,UNRESOLVED,9069.581826761658,12
200104,13010170102,LIMON SUTIL,LIMON SUTIL,2016,14.0,1.0,0.0,0.9928571428571429,1.0,14.0,UNRESOLVED,14318.670871168899,12
200104,13010170102,LIMON SUTIL,LIMON SUTIL,2017,9.0,1.0,0.0,0.7333333333333333,0.0,9.0,UNRESOLVED,14318.670871168899,8
200104,13010170102,LIMON SUTIL,LIMON SUTIL,2019,208.0,121.0,105.0,1.1826923076923077,121.0,1.71900826446281,UNRESOLVED,14318.670871168899,12
200104,13010170102,LIMON SUTIL,LIMON SUTIL,2020,359.0,121.0,0.0,1.1319220055710306,121.0,2.9669421487603307,UNRESOLVED,14318.670871168899,12
200104,13010170102,LIMON SUTIL,LIMON SUTIL,2021,632.0,121.0,0.0,1.161107594936709,121.0,5.223140495867769,UNRESOLVED,14318.670871168899,12
200104,13010170102,LIMON SUTIL,LIMON SUTIL,2022,1206.0,124.0,17.0,1.1818739635157545,138.0,9.725806451612904,UNRESOLVED,14318.670871168899,12
200104,13010170102,LIMON SUTIL,LIMON SUTIL,2023,1071.0,132.0,34.0,2.070718954248366,132.0,8.113636363636363,UNRESOLVED,14318.670871168899,12
200104,13010210000,MANGO,MANGO,2016,96.0,9.0,0.0,1.25,9.0,10.666666666666666,UNRESOLVED,14318.670871168899,12
200104,13010210000,MANGO,MANGO,2017,132.0,9.0,3.0,1.6454545454545453,12.0,14.666666666666666,UNRESOLVED,14318.670871168899,12
200104,13010210000,MANGO,MANGO,2018,121.0,12.0,0.0,1.506611570247934,12.0,10.083333333333334,UNRESOLVED,14318.670871168899,12
200104,13010210000,MANGO,MANGO,2019,69.0,9.0,4.0,1.2028985507246377,16.0,7.666666666666667,UNRESOLVED,14318.670871168899,12
200104,13010210000,MANGO,MANGO,2020,100.0,16.0,3.0,1.902,19.0,6.25,UNRESOLVED,14318.670871168899,12
200104,13010210000,MANGO,MANGO,2021,98.0,10.0,0.0,1.5589795918367346,10.0,9.8,UNRESOLVED,14318.670871168899,12
200104,13010210000,MANGO,MANGO,2022,119.0,10.0,0.0,1.1770588235294117,10.0,11.9,UNRESOLVED,14318.670871168899,12
200104,13010210000,MANGO,MANGO,2023,71.0,7.0,0.0,1.8129577464788733,7.0,10.142857142857142,UNRESOLVED,14318.670871168899,12
200104,14010020000,ARROZ,ARROZ,2019,35.0,5.0,4.0,0.9799999999999999,0.0,7.0,UNRESOLVED,14318.670871168899,6
200104,14010020000,ARROZ,ARROZ,2020,20.0,2.0,2.0,1.4,0.0,10.0,UNRESOLVED,14318.670871168899,4
200104,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2016,105.0,20.0,30.0,1.299047619047619,10.0,5.25,UNRESOLVED,14318.670871168899,11
200104,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2017,160.0,35.0,35.0,1.0848749999999998,10.0,4.571428571428571,UNRESOLVED,14318.670871168899,9
200104,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2018,156.0,33.0,23.0,1.0775641025641027,0.0,4.7272727272727275,UNRESOLVED,14318.670871168899,11
200104,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2019,326.0,56.0,56.0,1.0957055214723925,0.0,5.821428571428571,UNRESOLVED,14318.670871168899,12
200104,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2020,84.0,12.0,20.0,1.2654761904761904,8.0,7.0,UNRESOLVED,14318.670871168899,9
200104,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2021,105.0,21.0,21.0,1.5742857142857143,8.0,5.0,UNRESOLVED,14318.670871168899,12
200104,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2022,4319.0,864.0,864.0,1.5181268812225053,8.0,4.998842592592593,UNRESOLVED,14318.670871168899,12
200104,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2023,16.0,3.0,6.0,1.34,0.0,5.333333333333333,UNRESOLVED,14318.670871168899,7
200104,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2016,894.0,52.0,193.0,1.212751677852349,245.0,17.192307692307693,UNRESOLVED,14318.670871168899,12
200104,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2017,5709.0,256.0,11.0,1.2329637414608512,256.0,22.30078125,UNRESOLVED,14318.670871168899,12
200104,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2018,8529.0,260.0,144.0,1.4923519756126158,400.0,32.80384615384615,UNRESOLVED,14318.670871168899,12
200104,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2019,7353.0,400.0,152.0,1.4827553379572964,552.0,18.3825,UNRESOLVED,14318.670871168899,12
200104,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2020,7504.0,400.0,0.0,1.2911913646055437,552.0,18.76,UNRESOLVED,14318.670871168899,12
200104,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2021,10828.0,552.0,0.0,1.0614739564093094,552.0,19.615942028985508,UNRESOLVED,14318.670871168899,12
200104,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2022,8105.0,552.0,0.0,1.0923849475632326,552.0,14.682971014492754,UNRESOLVED,14318.670871168899,12
200104,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2023,9373.0,385.0,0.0,1.237662434652726,385.0,24.345454545454544,UNRESOLVED,14318.670871168899,12
200105,13010170102,LIMON SUTIL,LIMON SUTIL,2016,14.0,1.0,0.0,1.05,1.0,14.0,UNRESOLVED,11242.407313147127,12
200105,13010170102,LIMON SUTIL,LIMON SUTIL,2017,15.0,1.0,0.0,1.3746666666666667,1.0,15.0,UNRESOLVED,11242.407313147127,12
200105,13010170102,LIMON SUTIL,LIMON SUTIL,2018,12.0,1.0,0.0,1.0083333333333333,1.0,12.0,UNRESOLVED,11242.407313147127,12
200105,13010170102,LIMON SUTIL,LIMON SUTIL,2019,11.0,5.0,4.0,1.1454545454545455,5.0,2.2,UNRESOLVED,11242.407313147127,12
200105,13010170102,LIMON SUTIL,LIMON SUTIL,2020,19.0,5.0,0.0,1.0,5.0,3.8,UNRESOLVED,11242.407313147127,12
200105,13010170102,LIMON SUTIL,LIMON SUTIL,2021,23.0,5.0,0.0,1.107391304347826,5.0,4.6,UNRESOLVED,11242.407313147127,12
200105,13010170102,LIMON SUTIL,LIMON SUTIL,2022,55.0,5.0,1.0,1.5601818181818181,6.0,11.0,UNRESOLVED,11242.407313147127,12
200105,13010170102,LIMON SUTIL,LIMON SUTIL,2023,43.0,5.0,0.0,1.9513953488372093,6.0,8.6,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2016,16.0,2.0,0.0,1.35,2.0,8.0,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2017,10.0,2.0,0.0,0.8,2.0,5.0,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2018,97.0,2.0,10.0,1.4319587628865977,12.0,48.5,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2019,42.0,2.0,0.0,1.188095238095238,12.0,21.0,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2020,18.0,13.0,1.0,1.0233333333333334,13.0,1.3846153846153846,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2021,59.0,13.0,0.0,1.477966101694915,13.0,4.538461538461538,UNRESOLVED,11242.407313147127,12
