UBIGEO,COD_CULTIVO,CROP_STD,CULTIVO_SOURCE,ANO,MES,MONTH,TEMPORAL_ROLE,SOURCE_12_MONTHS_PRESENT,SIEMBRA,COSECHA,PRODUCCION,SOWN_ANNUAL_DENOMINATOR,SOWN_MISSING_MONTH_COUNT,SOWN_POSITIVE_MONTH_COUNT,SOWN_DENOMINATOR_STATUS,SOWN_SOURCE_12_MONTHS_PRESENT,SOWN_SHARE,HARVEST_ANNUAL_DENOMINATOR,HARVEST_MISSING_MONTH_COUNT,HARVEST_POSITIVE_MONTH_COUNT,HARVEST_DENOMINATOR_STATUS,HARVEST_SOURCE_12_MONTHS_PRESENT,HARVEST_SHARE,PRODUCTION_ANNUAL_DENOMINATOR,PRODUCTION_MISSING_MONTH_COUNT,PRODUCTION_POSITIVE_MONTH_COUNT,PRODUCTION_DENOMINATOR_STATUS,PRODUCTION_SOURCE_12_MONTHS_PRESENT,PRODUCTION_SHARE
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2015,201508,8,AUG_DEC_ANTECEDENT_SUPPORT_ONLY,False,0.0,0.0,215.0,0.0,0,0,PARTIAL_MISSING,False,,635.0,0,1,PARTIAL_MISSING,False,,5129.0,0,5,PARTIAL_MISSING,False,
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2015,201509,9,AUG_DEC_ANTECEDENT_SUPPORT_ONLY,False,0.0,0.0,223.0,0.0,0,0,PARTIAL_MISSING,False,,635.0,0,1,PARTIAL_MISSING,False,,5129.0,0,5,PARTIAL_MISSING,False,
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2015,201510,10,AUG_DEC_ANTECEDENT_SUPPORT_ONLY,False,0.0,0.0,354.0,0.0,0,0,PARTIAL_MISSING,False,,635.0,0,1,PARTIAL_MISSING,False,,5129.0,0,5,PARTIAL_MISSING,False,
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2015,201511,11,AUG_DEC_ANTECEDENT_SUPPORT_ONLY,False,0.0,0.0,305.0,0.0,0,0,PARTIAL_MISSING,False,,635.0,0,1,PARTIAL_MISSING,False,,5129.0,0,5,PARTIAL_MISSING,False,
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2015,201512,12,AUG_DEC_ANTECEDENT_SUPPORT_ONLY,False,0.0,635.0,4032.0,0.0,0,0,PARTIAL_MISSING,False,,635.0,0,1,PARTIAL_MISSING,False,,5129.0,0,5,PARTIAL_MISSING,False,
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201601,1,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,318.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.03176823176823177
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201602,2,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,443.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.04425574425574426
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201603,3,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,1072.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.1070929070929071
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201604,4,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,1143.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.11418581418581418
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201605,5,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,1079.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.10779220779220779
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201606,6,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,889.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.08881118881118881
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201607,7,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,889.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.08881118881118881
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201608,8,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,826.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.08251748251748252
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201609,9,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,825.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.08241758241758242
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201610,10,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,825.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.08241758241758242
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201611,11,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,825.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,0.0,10010.0,0,12,POSITIVE,True,0.08241758241758242
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2016,201612,12,MAIN_TEMPORAL_STRUCTURE,True,0.0,635.0,876.0,0.0,0,0,ZERO,True,,635.0,0,1,POSITIVE,True,1.0,10010.0,0,12,POSITIVE,True,0.08751248751248751
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201701,1,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,990.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.12376547068383548
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201702,2,MAIN_TEMPORAL_STRUCTURE,True,85.0,0.0,1080.0,139.0,0,2,POSITIVE,True,0.6115107913669064,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.1350168771096387
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201703,3,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,1200.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.150018752344043
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201704,4,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,1072.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.13401675209401176
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201705,5,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,959.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.11988998624828104
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201706,6,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,759.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.0948868608576072
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201707,7,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,564.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.07050881360170021
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201708,8,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,237.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.029628703587948495
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201709,9,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,214.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.026753344168021
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201710,10,MAIN_TEMPORAL_STRUCTURE,True,54.0,0.0,316.0,139.0,0,2,POSITIVE,True,0.38848920863309355,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.03950493811726466
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201711,11,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,270.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,0.0,7999.0,0,12,POSITIVE,True,0.033754219277409674
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2017,201712,12,MAIN_TEMPORAL_STRUCTURE,True,0.0,649.0,338.0,139.0,0,2,POSITIVE,True,0.0,649.0,0,1,POSITIVE,True,1.0,7999.0,0,12,POSITIVE,True,0.04225528191023878
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2018,201801,1,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,350.0,73.0,0,1,POSITIVE,True,0.0,564.0,0,1,POSITIVE,True,0.0,6809.0,0,12,POSITIVE,True,0.05140255544132766
200101,13010170102,LIMON SUTIL,LIMON SUTIL,2018,201802,2,MAIN_TEMPORAL_STRUCTURE,True,0.0,0.0,384.0,73.0,0,1,POSITIVE,True,0.0,564.0,0,1,POSITIVE,True,0.0,6809.0,0,12,POSITIVE,True,0.05639594654134234
