AGENCY_NAME,DISTRICT_NAME,PROVINCE_NAME,UBIGEO,RELATION_STATUS,EXHAUSTIVENESS_STATUS,RELATIONSHIP_CLASS,EVIDENCE_IDS,PCR_GROUP_USE,DISTRICT_PCR_DISAGGREGATION_AUTHORIZED,CRITICAL_GAP,NOTES
,PIURA,PIURA,200101,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,CASTILLA,PIURA,200104,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria Piura,CATACAOS,PIURA,200105,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-008,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Piura,CURA MORI,PIURA,200107,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-003;C0B2-AG-004;C0B2-AG-008,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
,EL TALLAN,PIURA,200108,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,LA ARENA,PIURA,200109,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
,LA UNION,PIURA,200110,UNRESOLVED,UNKNOWN,PARTIAL_UNKNOWN,C0B2-MODEL-001;C0B2-AG-001;C0B2-AG-002,UNRESOLVED,FALSE,NO_RELATION_RECOVERED_AFTER_DOCUMENTED_SEARCH,"AGENCY_SEARCH_STATUS=SEARCH_INCOMPLETE; MOF, jurisdiction articles, current activity records, and PCR architecture searched; no relation recovered; absence is not proof of no agency relation."
Agencia Agraria San Lorenzo,LAS LOMAS,PIURA,200111,SUPPORTED_JURISDICTION,PARTIAL_KNOWN,ONE_TO_MANY,C0B2-AG-004,GROUP_LEVEL_PCR_SOFT_REFERENCE,FALSE,CURRENT_EXHAUSTIVE_AGENCY_JURISDICTION_NOT_CERTIFIED,AGENCY_SEARCH_STATUS=RELATION_FOUND; strongest relation SUPPORTED_JURISDICTION; not exhaustive.
Agencia Agraria San Lorenzo,TAMBO GRANDE,PIURA,200114,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-013,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
Agencia Agraria Ayabaca,AYABACA,AYABACA,200201,PRESENCE_ONLY,NONEXHAUSTIVE_PRESENCE_ONLY,ONE_TO_MANY,C0B2-AG-010,CONTEXT_ONLY,FALSE,ACTIVITY_DOES_NOT_PROVE_JURISDICTION,AGENCY_SEARCH_STATUS=RELATION_FOUND; activity presence only; not jurisdiction.
