UBIGEO,DISTRICT_NAME,PROVINCE_NAME,IN_MODEL_UNIVERSE,TARGET_CROPS_OBSERVED,AGENCY_RELATION_COUNT,AGENCY_MAPPING_STATUS,PCR_GROUP_REFERENCE_STATUS,HYDRAULIC_SYSTEM_COUNT,JUNTA_COUNT,COMMISSION_OR_SUBSECTOR_COUNT,HYDRAULIC_MAPPING_STATUS,IRRIGATION_SERVICE_STATUS,RAINFED_STATUS,DOUBLE_COUNTING_RISK,DISTRICT_INDEX_STATUS,FUTURE_WATER_SPATIAL_ROLE,UNRESOLVED_CRITICAL_GAP,EVIDENCE_IDS
200101,PIURA,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,1,1,1,L3_NAMED_SERVICE_UNIT_NONEXHAUSTIVE,OFFICIAL_PARTIAL_SERVICE_EVIDENCE,UNRESOLVED_NOT_ASSUMED_RAINFED,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SUBINDEX_OR_PARTITION_REQUIRED_PENDING_SERVICE_EVIDENCE,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,DISTINCT_RELATIONS_REQUIRE_SERVICE_ADJUDICATION_BEFORE_WATER_MODEL,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003;C0B2-HYD-010
200104,CASTILLA,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200105,CATACAOS,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,1,1,1,L3_SERVICE_RELATION_PRESENT_NONEXHAUSTIVE,OFFICIAL_PARTIAL_SERVICE_EVIDENCE,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,SPATIALLY_ELIGIBLE_AFTER_SERVICE_PARTITION,PARTIAL_SERVICE_RELATION_WITHOUT_OFFICIAL_PARTITION_OR_FRACTION,C0B2-AG-008;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003;C0B2-HYD-008
200107,CURA MORI,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,1,1,1,L3_SERVICE_RELATION_PRESENT_NONEXHAUSTIVE,OFFICIAL_PARTIAL_SERVICE_EVIDENCE,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,SPATIALLY_ELIGIBLE_AFTER_SERVICE_PARTITION,PARTIAL_SERVICE_RELATION_WITHOUT_OFFICIAL_PARTITION_OR_FRACTION,C0B2-AG-003;C0B2-AG-004;C0B2-AG-008;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003;C0B2-HYD-008
200108,EL TALLAN,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200109,LA ARENA,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200110,LA UNION,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;PLATANOS Y BANANAS,0,UNRESOLVED_AFTER_DOCUMENTED_SEARCH,UNRESOLVED_NO_DISTRICT_ALLOCATION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200111,LAS LOMAS,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,SUPPORTED_NONEXHAUSTIVE_RELATION,AGENCY_GROUP_SOFT_REFERENCE_ONLY,1,1,4,L2_INSTITUTIONAL_MEMBERSHIP_PRESENT_NONEXHAUSTIVE,INSTITUTIONAL_MEMBERSHIP_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SUBINDEX_OR_PARTITION_REQUIRED_PENDING_SERVICE_EVIDENCE,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,DISTINCT_RELATIONS_REQUIRE_SERVICE_ADJUDICATION_BEFORE_WATER_MODEL,C0B2-AG-004;C0B2-HYD-005;C0B2-HYD-006
200114,TAMBO GRANDE,PIURA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SUBINDEX_OR_PARTITION_REQUIRED_PENDING_SERVICE_EVIDENCE,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,DISTINCT_RELATIONS_REQUIRE_SERVICE_ADJUDICATION_BEFORE_WATER_MODEL,C0B2-AG-013;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
200201,AYABACA,AYABACA,TRUE,ARROZ;LIMON SUTIL;MAIZ AMARILLO DURO;MANGO;PLATANOS Y BANANAS,1,PRESENCE_ONLY_NONEXHAUSTIVE,CONTEXT_ONLY_NO_JURISDICTION,0,0,0,L1_OFFICIAL_PRESENCE_NONEXHAUSTIVE,HYDRAULIC_PRESENCE_ONLY_SERVICE_UNRESOLVED,UNRESOLVED_NOT_ASSUMED_RAINFED,NO_CONFIRMED_MULTI_SERVICE,POTENTIAL_SUBINDEX_ONLY,PARTIAL_COVERAGE_ONLY,OFFICIAL_PRESENCE_ONLY_SERVICE_PARTITION_AND_FRACTION_UNRESOLVED,C0B2-AG-010;C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003
