HYDRAULIC_SYSTEM,ALA,JUNTA,COMMISSION_OR_SUBSECTOR,IRRIGATION_BLOCK,WATER_SOURCE,DISTRICT_NAME,PROVINCE_NAME,UBIGEO,SERVICE_RELATION_STATUS,EXHAUSTIVENESS_STATUS,RELATIONSHIP_CLASS,EVIDENCE_IDS,MODEL_SPATIAL_ROLE,SERVICE_FRACTION_AVAILABLE,SERVICE_FRACTION_VALUE,DOUBLE_COUNTING_RISK,CRITICAL_GAP,NOTES
,Medio y Bajo Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,PIURA,PIURA,200101,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,MANY_TO_MANY,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=92;UNIQUE_RAW_ENTITIES=89;FEATURE_ID_SHA256=f3058bfe9fc2527bfb873fe0676e464d3cd24105247b5cc1b94e6e1520b30e9e;SAMPLE_IDS=10395|10396|10397|38927|69282;SAMPLE_RAW_ENTITIES=AGUSTIN YARLEQUE YESQUEN|ALBERCA CARMONA, MACKLIN;RAW_DISTRICT=Piura;RAW_PROVINCE=Piura;DATE_RANGE=2020-10-02:2026-07-02; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
Sistema Hidraulico Chira Piura,Medio y Bajo Piura,Junta de Usuarios Sector Hidraulico Medio y Bajo Piura,Comision de Usuarios Medio Piura Margen Derecha,Bloque 50+500 Izquierda PMBP-05-B03,Rio Chira / Canal de Derivacion Daniel Escobar,PIURA,PIURA,200101,CERTIFIED_EXACT_SERVICE_RELATION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-HYD-010,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,NAMED_SERVICE_UNIT_WITHOUT_OFFICIAL_DISTRICT_PARTITION_OR_FRACTION,EVIDENCE_LEVEL=L3_NAMED_SERVICE_UNIT; RD 1218-2022 uses operative 2022 code PMBP-05-B03 for this relation and preserves PMBP-05-B025 only as the referenced 2006 antecedent. No district service fraction is available; the relation is nonexhaustive and cannot be propagated to all agricultural land.
,San Lorenzo,,,,Quebrada GRANDE,PIURA,PIURA,200101,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,MANY_TO_MANY,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,CONDITIONAL_WATER_SPATIAL_ELIGIBILITY,FALSE,,CONDITIONAL_MULTI_RELATION_REQUIRES_ADJUDICATION,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=1;UNIQUE_RAW_ENTITIES=1;FEATURE_ID_SHA256=22aaee1a120cf67e1f9dcdec3b52af1b4c435300d5db9dc50e19d0471f86f188;SAMPLE_IDS=6982;SAMPLE_RAW_ENTITIES=COMITÉ DE USUARIOS DE AGUA DEL CANAL LLAPAPASCA;RAW_DISTRICT=Piura;RAW_PROVINCE=Piura;DATE_RANGE=2019-07-23:2019-07-23; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,Medio y Bajo Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,CASTILLA,PIURA,200104,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=39;UNIQUE_RAW_ENTITIES=23;FEATURE_ID_SHA256=37bf106a0320f448d34b1aee6088441c98073c8fbb563faf8cce700203d4622d;SAMPLE_IDS=14667|15081|15082|41713|41714;SAMPLE_RAW_ENTITIES=AGROPIURA S.A.C|ALEJANDRO LAZO RAMOS;RAW_DISTRICT=Castilla;RAW_PROVINCE=Piura;DATE_RANGE=2021-05-10:2025-12-06; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,Medio y Bajo Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,CATACAOS,PIURA,200105,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=32;UNIQUE_RAW_ENTITIES=17;FEATURE_ID_SHA256=7351b130ad1d60f293c852635c71f206960cbf4debb837aef24ac2eb9eb92664;SAMPLE_IDS=27969|27971|27974|60833|60835;SAMPLE_RAW_ENTITIES=CARMEN AGUIRRE, MANUEL EMILIO|CHERO SOSA, LUIS RAUL;RAW_DISTRICT=Catacaos;RAW_PROVINCE=Piura;DATE_RANGE=2022-07-13:2026-05-05; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
Sistema Hidraulico Chira Piura,Medio y Bajo Piura,Junta de Usuarios Sector Hidraulico Medio y Bajo Piura,Comision de Usuarios Puyuntala,,Canal Lateral Narihuala,CATACAOS,PIURA,200105,CERTIFIED_EXACT_SERVICE_RELATION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-HYD-008,SPATIALLY_ELIGIBLE_AFTER_SERVICE_PARTITION,FALSE,,NO_CONFIRMED_MULTI_SERVICE,PARTIAL_SERVICE_RELATION_WITHOUT_COMPLETE_DISTRICT_PARTITION,EVIDENCE_LEVEL=L3_SERVICE_AREA_RELATION; MIDAGRI identifies agricultural sectors served by Canal Narihuala in the named district. No district service fraction is available; the relation is nonexhaustive and cannot be propagated to all agricultural land.
,Medio y Bajo Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,CURA MORI,PIURA,200107,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=40;UNIQUE_RAW_ENTITIES=29;FEATURE_ID_SHA256=7e638bc05daf6d658d0731846d7c6214bf670fec2c3bdb4621e6d85ff23c8790;SAMPLE_IDS=14289|14290|14291|41419|69266;SAMPLE_RAW_ENTITIES=BALTAZAR MORE SANDOVAL|CELSO VALVERDE SILVA;RAW_DISTRICT=Cura Mori;RAW_PROVINCE=Piura;DATE_RANGE=2021-01-12:2026-07-01; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
Sistema Hidraulico Chira Piura,Medio y Bajo Piura,Junta de Usuarios Sector Hidraulico Medio y Bajo Piura,Comision de Usuarios Puyuntala,,Canal Lateral Narihuala,CURA MORI,PIURA,200107,CERTIFIED_EXACT_SERVICE_RELATION,PARTIAL_KNOWN,MANY_TO_MANY,C0B2-HYD-008,SPATIALLY_ELIGIBLE_AFTER_SERVICE_PARTITION,FALSE,,NO_CONFIRMED_MULTI_SERVICE,PARTIAL_SERVICE_RELATION_WITHOUT_COMPLETE_DISTRICT_PARTITION,EVIDENCE_LEVEL=L3_SERVICE_AREA_RELATION; MIDAGRI identifies agricultural sectors served by Canal Narihuala in the named district. No district service fraction is available; the relation is nonexhaustive and cannot be propagated to all agricultural land.
,Medio y Bajo Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,EL TALLAN,PIURA,200108,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=31;UNIQUE_RAW_ENTITIES=25;FEATURE_ID_SHA256=4865307882a29e06d972f05184c5cf8b5eb6530246383dd1756c4e192d5df4e5;SAMPLE_IDS=24332|24333|24334|69296|69297;SAMPLE_RAW_ENTITIES=ALEJANDRO WALTER FLORES AQUINO|ANASTACIO SILVA, MARIA CECILIA;RAW_DISTRICT=El Tallan;RAW_PROVINCE=Piura;DATE_RANGE=2022-01-21:2026-07-06; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
,Medio y Bajo Piura,,,,MULTIPLE_GEOSNIRH_SOURCE_NAMES,LA ARENA,PIURA,200109,CERTIFIED_EXACT_POLITICAL_LOCATION,NONEXHAUSTIVE_PRESENCE_ONLY,PARTIAL_UNKNOWN,C0B2-GIS-001;C0B2-GIS-002;C0B2-GIS-003,PARTIAL_COVERAGE_ONLY,FALSE,,NO_CONFIRMED_MULTI_SERVICE,SERVICE_MEMBERSHIP_AREA_PARTITION_AND_FRACTION_NOT_ESTABLISHED,"EVIDENCE_LEVEL=L1_OFFICIAL_HYDRAULIC_PRESENCE;GEOMETRY=POINT;RECORDS=45;UNIQUE_RAW_ENTITIES=39;FEATURE_ID_SHA256=b01fadbc0a420221d949f8122925db3013789a93e2070b385eefae23111b5bff;SAMPLE_IDS=14394|14395|14409|69385|69387;SAMPLE_RAW_ENTITIES=ALEJANDRO LALUPU CASTILLO|CHAVEZ COVEÑAS, VENANCIO;RAW_DISTRICT=La Arena;RAW_PROVINCE=Piura;DATE_RANGE=2021-01-21:2026-07-21; point location and license semantics do not prove service area, membership, fraction, or exhaustive coverage."
