EVIDENCE_ID,DOMAIN,SOURCE_TIER,SOURCE_AUTHORITY,SOURCE_TITLE,SOURCE_DATE,SOURCE_URL,SOURCE_DOCUMENT_TYPE,PAGE_OR_SECTION,ENTITY_TYPE,ENTITY_NAME,CLAIM_TYPE,RAW_PLACE_NAME,DISTRICT_NAME,PROVINCE_NAME,UBIGEO,EVIDENCE_SCOPE,EXHAUSTIVENESS_STATUS,EVIDENCE_STATUS,EXACT_FINDING,LIMITATION,NOTES
C0B2-MODEL-001,DISTRICT_LINKAGE,INTERNAL_FROZEN,Repository frozen agricultural panel,data/processed/panel_master.csv and data/processed/land_physical.csv,FROZEN_C0B1_HEAD_59e0dacd,repository://data/processed/panel_master.csv,FROZEN_REPOSITORY_DATASET,target crop rows,POLITICAL_DISTRICT,MODEL_DISTRICT_UNIVERSE,MODEL_DISTRICT_UNIVERSE_DERIVED,ALL_MODEL_DISTRICTS,,ALL_MODEL_PROVINCES,,MODEL_UNIVERSE,COMPLETE_EXHAUSTIVE,CERTIFIED_EXACT_POLITICAL_LOCATION,Frozen panel contains 55 unique UBIGEO districts for the five C0B1 target crops.,Does not establish agency or hydraulic membership.,Province plus district is the exact matching key; no fuzzy unresolved match accepted; this prevents collision between the two model districts named SALITRAL.
C0B2-AG-001,PCR,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Resolucion Directoral Regional N. 395-2025/GOBIERNO REGIONAL PIURA-DRA-DR,2025-09-18,https://www.gob.pe/institucion/regionpiura-dra/normas-legales/7251258-n-395-2025-gobierno-regional-piura-dra-dr,GOB_PE_LEGAL_NORM_AND_PDF,Articulo Primero,AGENCIA_AGRARIA_PLANNING_GROUP,Piura;Chulucanas;San Lorenzo;Chira;Huancabamba;Huarmaca;Ayabaca,PCR_AGENCY_PROGRAM_HECTARES,,,,,PCR_AGENCY_TOTAL,PARTIAL_KNOWN,PRESENCE_ONLY,PCR 2025-2026 approves 259690 ha and agency-scale totals for seven named agencies.,No official district membership table or district allocation is supplied.,Agency-level planning evidence only; DISTRICT_PCR_DISAGGREGATION_AUTHORIZED remains FALSE.
C0B2-AG-002,PCR,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Resolucion Directoral Regional N. 285-2024/GOBIERNO REGIONAL PIURA-DRA-DR,2024-10-03,https://www.gob.pe/institucion/regionpiura-dra/normas-legales/6071379-n-285-2024-gobierno-regional-piura-dra-dr,GOB_PE_LEGAL_NORM_AND_PDF,Articulo Primero,AGENCIA_AGRARIA_PLANNING_GROUP,Piura;Chira;San Lorenzo;Chulucanas;Huancabamba;Huarmaca;Ayabaca,PCR_AGENCY_PROGRAM_HECTARES,,,,,PCR_AGENCY_TOTAL,PARTIAL_KNOWN,PRESENCE_ONLY,PCR 2024-2025 approves 291633 ha and agency-scale totals for seven named agencies.,No district allocation is authorized.,Triangulates the seven-agency planning architecture across two campaigns.
C0B2-AG-003,AGENCY,A1_OFFICIAL_DRAP,Gobierno Regional Piura / Direccion Regional de Agricultura Piura,Manual de Organizacion y Funciones de la Direccion Regional de Agricultura Piura,2011,https://www.regionpiura.gob.pe/documentos/agriculturamof2011.pdf,OFFICIAL_MOF_PDF,Estructura organica - dependencias desconcentradas,AGENCIA_AND_SUBORDINATE_OFFICE_STRUCTURE,Agencias Piura;Chira;Chulucanas;San Lorenzo;Huancabamba;Ayabaca and named oficinas agrarias,SUPPORTED_SUBORDINATE_OFFICE_RELATION,Cura Mori;Tamarindo;Pueblo Nuevo de Colan;Morropon;San Juan de Bigote;Chalaco;Frias;Santo Domingo;Pacaipampa;Suyo;Paimas;Sondor;Canchaque;Huarmaca;Sapillica;Montero,,,,HISTORICAL_AGENCY_STRUCTURE,PARTIAL_KNOWN,SUPPORTED_JURISDICTION,Official MOF lists named agricultural offices under their parent agencies.,Historical structure is not proof of a current exhaustive jurisdiction; Huarmaca and Sapillica require temporal adjudication.,Official PDF retrieval timed out; indexed official document text was recovered. No exhaustive current list is claimed.
C0B2-AG-004,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Gore articula con gobiernos locales en seguridad alimentaria,2022-03-28,https://www.gob.pe/institucion/regionpiura-dra/noticias/621686-gore-articula-con-gobiernos-locales-en-seguridad-alimentaria,GOB_PE_PRESS_RELEASE,Dato,AGENCIA_AGRARIA_JURISDICTION,Agencia Agraria Chira;Agencia Agraria San Lorenzo;Agencia Agraria Piura,SUPPORTED_JURISDICTION,Miguel Checa;Salitral;Vichayal;Las Lomas;Sapillica;Cura Mori,,,,NAMED_DISTRICT_JURISDICTION,PARTIAL_KNOWN,SUPPORTED_JURISDICTION,"DRAP explicitly assigns Miguel Checa, Salitral and Vichayal to Chira; Las Lomas and Sapillica to San Lorenzo; and Cura Mori to Piura.",The article is not an exhaustive jurisdiction table.,Sapillica conflicts with the historical MOF and remains temporally nonexhaustive.
C0B2-AG-005,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Mas de 130 productores fueron beneficiados con asistencia tecnica para optimizar la produccion de 3300 animales caprinos,2026-06-05,https://www.gob.pe/institucion/regionpiura-dra/noticias/1402306-mas-de-130-productores-fueron-beneficiados-con-asistencia-tecnica-para-optimizar-la-produccion-de-3-300-animales-caprinos,GOB_PE_PRESS_RELEASE,Nota de prensa,AGENCIA_AGRARIA_ACTIVITY,Agencia Agraria Chira,ACTIVITY_PRESENCE_ONLY,Marcavelica;Lancones;Pueblo Nuevo de Colan;La Brea;Ignacio Escudero,,,,NAMED_DISTRICT_ACTIVITY,NONEXHAUSTIVE_PRESENCE_ONLY,PRESENCE_ONLY,Agency Chira staff provided field assistance in five named districts; Lancones and La Brea are outside the model universe.,Activity does not establish exhaustive jurisdiction.,Relation is retained as activity presence only.
C0B2-AG-006,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Gore Piura y especialista holandes evaluan la ganaderia de Huancabamba,2025-12-23,https://www.gob.pe/institucion/regionpiura-dra/noticias/1319130-gore-piura-y-especialista-holandes-evaluan-la-ganaderia-de-huancabamba,GOB_PE_PRESS_RELEASE,Nota de prensa,AGENCIA_AGRARIA_ACTIVITY,Agencia Agraria Huancabamba,ACTIVITY_PRESENCE_ONLY,El Carmen de la Frontera;Sondor;Sondorillo;Huancabamba,,,,NAMED_DISTRICT_ACTIVITY,NONEXHAUSTIVE_PRESENCE_ONLY,PRESENCE_ONLY,Agency Huancabamba accompanied official field work in four named model districts.,Activity does not establish exhaustive jurisdiction.,Relation is retained as activity presence only.
C0B2-AG-007,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Gore Piura gestiona atencion del seguro agrario para 52 productores afectados por lluvias en Huarmaca,2026-03-04,https://www.gob.pe/institucion/regionpiura-dra/noticias/1361345-gore-piura-gestiona-atencion-del-seguro-agrario-para-52-productores-afectados-por-lluvias-en-huarmaca,GOB_PE_PRESS_RELEASE,Nota de prensa,AGENCIA_AGRARIA_ACTIVITY,Agencia Agraria Huarmaca,ACTIVITY_PRESENCE_ONLY,Huarmaca,HUARMACA,HUANCABAMBA,200304,NAMED_DISTRICT_ACTIVITY,NONEXHAUSTIVE_PRESENCE_ONLY,PRESENCE_ONLY,Agency Huarmaca registered affected producers in Huarmaca district.,Activity does not establish exhaustive jurisdiction.,Relation is retained as activity presence only.
C0B2-AG-008,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,GORE Piura realiza capacitacion a productores de algodon en Curamori y Catacaos,2025-05-05,https://www.gob.pe/institucion/regionpiura-dra/noticias/1161803-gore-piura-realiza-capacitacion-a-productores-de-algodon-en-curamori-y-catacaos,GOB_PE_PRESS_RELEASE,Nota de prensa,AGENCIA_AGRARIA_ACTIVITY,Agencia Agraria Piura,ACTIVITY_PRESENCE_ONLY,Cura Mori;Catacaos,,,,NAMED_DISTRICT_ACTIVITY,NONEXHAUSTIVE_PRESENCE_ONLY,PRESENCE_ONLY,Agency Piura supported official producer training in Cura Mori and Catacaos.,Activity does not establish exhaustive jurisdiction.,Relation is retained as activity presence only.
C0B2-AG-009,AGENCY,A1_OFFICIAL_DRAP,Direccion Regional de Agricultura Piura,Productores de Chulucanas se capacitan en cosecha de mango y registro de plantaciones forestales,2025-09-17,https://www.gob.pe/institucion/regionpiura-dra/noticias/1248031-productores-de-chulucanas-se-capacitan-en-cosecha-de-mango-y-registro-de-plantaciones-forestales,GOB_PE_PRESS_RELEASE,Nota de prensa,AGENCIA_AGRARIA_ACTIVITY,Agencia Agraria Chulucanas,ACTIVITY_PRESENCE_ONLY,Chulucanas,CHULUCANAS,MORROPON,200401,NAMED_DISTRICT_ACTIVITY,NONEXHAUSTIVE_PRESENCE_ONLY,PRESENCE_ONLY,Agency Chulucanas coordinated official producer training in Chulucanas district.,Activity does not establish exhaustive jurisdiction.,Relation is retained as activity presence only.
