EVIDENCE_ID,CROP_CODE,CROP_STD,EVIDENCE_DOMAIN,SOURCE_TIER,SOURCE_AUTHORITY,SOURCE_TITLE,SOURCE_DATE,SOURCE_URL,PAGE_OR_SECTION,RAW_TERM,STATE_CONCEPT,UNIT,QUANTITATIVE_VALUE,VALUE_LOWER,VALUE_UPPER,TIME_UNIT,CULTIVAR_OR_SYSTEM,GEOGRAPHIC_RELEVANCE,EVIDENCE_STRENGTH,PARAMETER_ADMISSIBILITY,EXACT_FINDING,LIMITATION,NOTES
C0B3-E001,13010210000,MANGO,DATA_DICTIONARY,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 18,VERDE_ACTUAL,INSTALLED_STOCK,,,,,,Permanent crops in source dataset,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Numeric monthly total area of installed crops from installation and during production for permanent crops; zero means no activity and blank means not yet registered,The dictionary row omits the unit; hectare certification comes independently from C0B3-E026,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0; REMOTE_LOCAL_BYTES_IDENTICAL
C0B3-E002,13010170102,LIMON SUTIL,DATA_DICTIONARY,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 18,VERDE_ACTUAL,INSTALLED_STOCK,,,,,,Permanent crops in source dataset,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Numeric monthly total area of installed crops from installation and during production for permanent crops; zero means no activity and blank means not yet registered,The dictionary row omits the unit; hectare certification comes independently from C0B3-E026,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0; REMOTE_LOCAL_BYTES_IDENTICAL
C0B3-E003,15010040000,PLATANOS Y BANANAS,DATA_DICTIONARY,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 18,VERDE_ACTUAL,INSTALLED_STOCK,,,,,,Permanent or semipermanent records in source dataset,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Numeric monthly total area of installed crops; banana is interpreted as continuing installed stand area rather than individual plant stock,The dictionary does not describe internal mother-daughter-sucker succession; hectare certification comes independently from C0B3-E026,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0; REMOTE_LOCAL_BYTES_IDENTICAL
C0B3-E004,13010210000,MANGO,ESTABLISHMENT,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 15,SIEMBRA,NEW_ESTABLISHMENT_FLOW,ha,,,,MONTH,Perennial record,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Surface sown in a specified month in hectares; C0B3-E027 independently defines the source-system measure as gross area installed by sowing or transplanting,SIEMBRA is not total stock campaign-cumulative stock or net stock expansion,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0
C0B3-E005,13010170102,LIMON SUTIL,ESTABLISHMENT,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 15,SIEMBRA,NEW_ESTABLISHMENT_FLOW,ha,,,,MONTH,Perennial record,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Surface sown in a specified month in hectares; C0B3-E027 independently defines the source-system measure as gross area installed by sowing or transplanting,SIEMBRA is not total stock campaign-cumulative stock or net stock expansion,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0
C0B3-E006,15010040000,PLATANOS Y BANANAS,ESTABLISHMENT,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 15,SIEMBRA,NEW_ESTABLISHMENT_FLOW,ha,,,,MONTH,Semipermanent record,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Surface sown in a specified month in hectares; C0B3-E027 supports gross stand installation or replant establishment,SIEMBRA is not net expansion and does not measure internal mother-daughter-sucker succession within an installed stand,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0
C0B3-E007,13010210000,MANGO,HARVESTED_AREA,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 16,COSECHA,HARVEST_FLOW_AREA,ha,,,,MONTH,Perennial record,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Surface harvested in a specified period in hectares; C0B3-E028 documents repeated collection and year-end reporting for permanent crops,Harvest flow area does not identify installed or directly observed productive stock,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0
C0B3-E008,13010170102,LIMON SUTIL,HARVESTED_AREA,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 16,COSECHA,HARVEST_FLOW_AREA,ha,,,,MONTH,Perennial record,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Surface harvested in a specified period in hectares; C0B3-E028 documents repeated collection and year-end reporting for permanent crops,Harvest flow area does not identify installed or directly observed productive stock,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0
C0B3-E009,15010040000,PLATANOS Y BANANAS,HARVESTED_AREA,P1,Dirección Regional de Agricultura Piura,Diccionario de datos Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_DiccionarioDatos_productos_dra_.xlsx,DiccionarioDatos row 16,COSECHA,HARVEST_FLOW_AREA,ha,,,,MONTH,Semipermanent record,Piura,PRIMARY_EXACT_DICTIONARY,NOT_ADMISSIBLE,Surface harvested in a specified period in hectares; semipermanent timing follows permanent-style year-end reporting,Harvested mother-plant area does not define the continuing installed stand or direct productive stock,LOCAL_COPY=repository:data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx; SHA256=9df8aedf987a7a882d265ffc629d105f8058a5208738d5dcd1b213b30d347ce0
C0B3-E010,,ALL TARGET CROPS,VARIABLE_SEMANTICS,P1,Dirección Regional de Agricultura Piura,Metadato Campaña agrícola de los principales cultivos de la región Piura [Gobierno Regional Piura - GRP],2025-05-27,https://www.datosabiertos.gob.pe/sites/default/files/Formato_Metadatos_productos_dra_.docx,Description and temporal coverage,zero and blank recording rule,OBSERVATION_PROTOCOL,,,,,CAMPAIGN,All agricultural records,Piura,PRIMARY_SOURCE_METADATA,NOT_ADMISSIBLE,From 2024 permanent or semipermanent crop harvest is recorded at campaign end to avoid inconsistencies; zero indicates no activity and blank indicates not yet registered,The rule changes recording timing and does not establish a complete published-extract stock-flow identity,LOCAL_COPY=repository:data/raw/Formato_Metadatos_productos_dra_.docx; SHA256=a66ede624b8d2f502df65620c84233dd04a9ebcc29ae9969c38e2272ec812ea7; REMOTE_LOCAL_BYTES_IDENTICAL
