UBIGEO,DISTRICT_NAME,CROP_CODE,CROP_STD,N_HISTORICAL_PERIODS,BASELINE_STATUS,HIST_MIN_HA,HIST_MAX_HA,HIST_MEDIAN_HA,MAX_ABS_YOY_CHANGE_HA,MAX_REL_YOY_CHANGE,P25_ABS_YOY_CHANGE_HA,P50_ABS_YOY_CHANGE_HA,P75_ABS_YOY_CHANGE_HA,ZERO_ENTRY_OBSERVED,ZERO_EXIT_OBSERVED,OFFICIAL_BOUND_AVAILABLE,ADJUSTMENT_BOUND_STATUS,AUTHORIZED_LOWER_RULE,AUTHORIZED_UPPER_RULE,MODEL_BOUND_AUTHORIZED,LIMITATION,NOTES
200101,PIURA,14010020000,ARROZ,9,NOT_YET_FROZEN,0,810,248,334,6.047619,139,187,294,TRUE,TRUE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200101,PIURA,14010070000,MAIZ AMARILLO DURO,7,NOT_YET_FROZEN,13,242,39,186,3.321429,20,21,25,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200104,CASTILLA,14010020000,ARROZ,0,NOT_YET_FROZEN,,,,,,,,,FALSE,FALSE,FALSE,UNRESOLVED,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200104,CASTILLA,14010070000,MAIZ AMARILLO DURO,3,NOT_YET_FROZEN,6,870,53,864,0.993103,864,864,864,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200105,CATACAOS,14010020000,ARROZ,7,NOT_YET_FROZEN,1843,3615,2876,1095,0.59414,308,716,928,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200105,CATACAOS,14010070000,MAIZ AMARILLO DURO,6,NOT_YET_FROZEN,865,3205,1513,1049,0.503487,803.75,885.5,967.25,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200107,CURA MORI,14010020000,ARROZ,7,NOT_YET_FROZEN,845,1771,1136,640,0.487574,228.5,331.5,469,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200107,CURA MORI,14010070000,MAIZ AMARILLO DURO,5,NOT_YET_FROZEN,463,1514,732,533,0.528033,521.75,525.5,529.25,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200108,EL TALLAN,14010020000,ARROZ,6,NOT_YET_FROZEN,954,1631,1289.5,333,0.234838,203,207,270,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200108,EL TALLAN,14010070000,MAIZ AMARILLO DURO,8,NOT_YET_FROZEN,429,1510,716.5,914,1.094118,121.75,185.5,619,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200109,LA ARENA,14010020000,ARROZ,6,NOT_YET_FROZEN,3825,4929,4264,770,0.156218,272,498,634,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200109,LA ARENA,14010070000,MAIZ AMARILLO DURO,2,NOT_YET_FROZEN,1138,4596,2867,3458,0.752393,3458,3458,3458,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200110,LA UNION,14010020000,ARROZ,7,NOT_YET_FROZEN,2786,4920,3242,536,0.143239,81,285,482.75,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200110,LA UNION,14010070000,MAIZ AMARILLO DURO,7,NOT_YET_FROZEN,626,2582,1024,1558,0.603408,315,652,755,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200111,LAS LOMAS,14010020000,ARROZ,5,NOT_YET_FROZEN,1670,5400,3470,1830,0.345283,532.5,965,1397.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200111,LAS LOMAS,14010070000,MAIZ AMARILLO DURO,5,NOT_YET_FROZEN,30,890,349,510,17,120,191,350.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200114,TAMBO GRANDE,14010020000,ARROZ,5,NOT_YET_FROZEN,1925,6820,6363,4895,0.717742,1351.25,2532.5,3713.75,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200114,TAMBO GRANDE,14010070000,MAIZ AMARILLO DURO,6,NOT_YET_FROZEN,119,608,261.5,416,3.495798,25.75,156,315.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200201,AYABACA,14010020000,ARROZ,8,NOT_YET_FROZEN,6,69,29,26,0.714286,4,4.5,12.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
200201,AYABACA,14010070000,MAIZ AMARILLO DURO,4,NOT_YET_FROZEN,600,1006,732,166,0.197619,59.5,95,130.5,FALSE,FALSE,FALSE,SENSITIVITY_ONLY,,,FALSE,"Complete August-July district-crop campaigns only; aggregate history does not identify parcel reuse, reallocable land, or a future hard bound.",DESCRIPTIVE_DIAGNOSTIC_ONLY; HISTORICAL_SUPPORT_AS_DECISION_DOMAIN_STATUS=EMPIRICAL_CONTEXT_ONLY; MODEL_BOUND_AUTHORIZED=FALSE; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489
