EVIDENCE_ID,EVIDENCE_DOMAIN,CROP_CODE,CROP_STD,DISTRICT_SCOPE,SOURCE_TIER,SOURCE_AUTHORITY,SOURCE_TITLE,SOURCE_DATE,SOURCE_URL,PAGE_OR_SECTION,RAW_TERM,LAND_CONCEPT,UNIT,QUANTITATIVE_VALUE,VALUE_LOWER,VALUE_UPPER,TIME_UNIT,GEOGRAPHIC_RELEVANCE,EVIDENCE_STRENGTH,MODEL_ADMISSIBILITY,EXACT_FINDING,LIMITATION,NOTES
"C0B4-E001","AREA_HA_SEMANTICS","","ALL CROPS","61 Piura districts","P1_FROZEN","C0B1 frozen ontology","Decision Variable Ontology v1","2026-08-20","repository://config/decision_ontology/decision_variable_ontology_v1.json","land_ontology","AREA_HA","PHYSICAL_AGRICULTURAL_FOOTPRINT","ha","","","","STATIC_2024_REFERENCE","Piura district UBIGEO","FROZEN_EXACT","NOT_MODEL_PARAMETER","AREA_HA is physical agricultural footprint and is not current cultivated, reallocable, campaign-sown, harvested, or simultaneous occupancy area.","A footprint can support a cap only after both occupancy and available-capacity mappings are certified.","C0B1_SHA256=a8f28394ea1c007413938600623f8e418491c69a9f9351d83d6256122ad4c534; LAND_SHA256=dba3d5263a14daddf0f5c1d33dfae2c209f9d531fdec983f193fb8c9d83ef517"
"C0B4-E002","PHYSICAL_FOOTPRINT","","ALL CROPS","National to district","P1_OFFICIAL","MIDAGRI DGESEP","MIDAGRI publica actualizacion del Mapa Nacional de Superficie Agricola","2025-02-03","https://www.gob.pe/institucion/midagri/noticias/1102269-midagri-publica-actualizacion-del-mapa-nacional-de-superficie-agricola-mnsa","Official release","superficie agricola","PHYSICAL_AGRICULTURAL_FOOTPRINT","ha","","","","2024","Peru; Piura included","PRIMARY_OFFICIAL","NOT_MODEL_PARAMETER","MNSA groups permanent crops, transient crops, fallow or rest, and cultivated and uncultivated agricultural lands.","The map does not identify current use, irrigation, suitability, availability, or reallocability.","FROZEN_UPSTREAM_EVIDENCE=C0B-E005"
"C0B4-E003","PHYSICAL_FOOTPRINT","","ALL CROPS","Department, province, district","P1_OFFICIAL","MIDAGRI","Resolucion Ministerial N. 0026-2025-MIDAGRI","2025-01-31","https://www.gob.pe/institucion/midagri/normas-legales/6426915-0026-2025-midagri","Articles 1-2","Mapa Nacional de Superficie Agricola","PHYSICAL_AGRICULTURAL_FOOTPRINT","ha","","","","2024","Peru; district reference","PRIMARY_OFFICIAL","NOT_MODEL_PARAMETER","The resolution updates MNSA by department, province, and district and makes it referential for SIEA statistical use.","Referential statistical use is not a legal or physical crop-allocation maximum.","FROZEN_UPSTREAM_EVIDENCE=C0B-E006"
"C0B4-E004","REALLOCABLE_AREA","13010210000;13010170102;15010040000","MANGO;LIMON SUTIL;PLATANOS Y BANANAS","55 model districts","P1_FROZEN","C0B3 frozen perennial master","C0B3 Perennial Stock, Productivity and Adjustment Master","2026-08-20","repository://config/decision_ontology/perennial_state_adjudication_v1.json","variable_adjudication.VERDE_ACTUAL and p3_interpretation","VERDE_ACTUAL","PERENNIAL_INSTALLED_STOCK","ha","","","","MONTH","Piura model districts","FROZEN_EXACT","NOT_MODEL_PARAMETER","VERDE_ACTUAL is observed installed stock in hectares; all three perennial or semipermanent stocks are fixed and exogenous in the current near-term architecture.","AREA_HA minus these stocks still contains unidentified other crops, fallow, unavailable land, other uses, and possible measurement incompatibility.","C0B3_CONFIG_SHA256=35d752b94b2aaf29e3b7f1512fa817ca18af8c817455a60467a1cc31cab2e86e"
"C0B4-E005","OTHER_CROP_OCCUPANCY","","FULL AGRICULTURAL UNIVERSE","55 model districts","P1_REPOSITORY_AUDIT","GORE Piura DRAP source data","Campana agricola de los principales cultivos de la region Piura","2025-05-27","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","124514 monthly rows","COD_CULTIVO;SIEMBRA;VERDE_ACTUAL","OTHER_CROP_OCCUPANCY","crop codes","96","","","2015-08_TO_2024-12","Piura districts","DIRECT_REPRODUCIBLE_AUDIT","DESCRIPTIVE_ONLY","The source has 96 crop codes, only five are targets, and 429 of 440 model district-years in 2016-2023 have positive SIEMBRA for at least one other crop.","Annual or campaign sowing flows for other crops cannot be summed as simultaneous physical occupancy.","OTHER_CROP_CODES=91; RAW_SHA256=7953e95f532b97f3db1ad42dfb517dc0b5f6e98a80b1f1b0954fc1b52419c489"
"C0B4-E006","LAND_OCCUPANCY","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","Peru source-system semantics","P1_OFFICIAL","MIDAGRI SIEA","Lineamientos Metodologicos de la Actividad Estadistica del Sistema Integrado de Estadistica Agraria - SIEA","2012-12","https://siea.midagri.gob.pe/media/documentos/Lineamientos_Metodologicos_SIEA.pdf","p. 63","Superficie Sembrada","TRANSIENT_MONTHLY_SOWN_FLOW","ha","","","","MONTH","Peru agricultural statistics system","PRIMARY_OFFICIAL_METHODOLOGY","NOT_MODEL_PARAMETER","SIEMBRA is monthly gross area installed by sowing or transplanting.","A planting flow is not the monthly state of physical occupation and does not reveal parcel identity.","SIEA_METHODOLOGY_SHA256=8fe81dcf74acc74803f9fa0c19ace73d54024133a527854e9f95e7d846df2230; HTTP_200_APPLICATION_PDF"
"C0B4-E007","SEQUENTIAL_CROPPING","14010020000;14010070000","ARROZ;MAIZ AMARILLO DURO","District aggregate","P1_REPOSITORY_AUDIT","GORE Piura DRAP source data","Aggregate district-month SIEMBRA structure","2015-08_TO_2024-12","repository://data/raw/Formato_dataset_productos_dra__%20(2).csv","UBIGEO x crop x month","district-month aggregate","SEQUENTIAL_REUSE","ha","18","","","CAMPAIGN","Piura model districts","DIRECT_REPRODUCIBLE_AUDIT","DESCRIPTIVE_ONLY","Eighteen district-campaign Rice plus MAD gross-sown totals exceed AREA_HA without establishing a physical contradiction.","The aggregate source cannot identify parcels, rotations, substitutions, or whether the same hectare was reused.","WARNING_AGAINST_DIRECT_CAMPAIGN_CAP; NOT_PROOF_OF_PARCEL_DOUBLE_CROPPING"
"C0B4-E008","PLANNING_AREA","","ALL AGRICULTURAL CROPS","Agency Agraria","P1_OFFICIAL","GORE Piura DRAP","Resolucion Directoral Regional N. 395-2025/Gobierno Regional Piura-DRA-DR","2025-09-18","https://www.gob.pe/institucion/regionpiura-dra/normas-legales/7251258-n-395-2025-gobierno-regional-piura-dra-dr","Article 1 and Annex 1","Campana Agricola 2025-2026","PLANNING_AREA","ha","259690","","","AUGUST_TO_JULY","Piura agricultural agencies","PRIMARY_OFFICIAL","CONTEXT_ONLY","The official PCR defines the agricultural campaign from 1 August 2025 through July 2026 and programs crop areas by agency.","Agency programming is not an exact district-crop physical capacity or farmer-level command.","OFFICIAL_CAMPAIGN_TIME_BASE; FROZEN_UPSTREAM_EVIDENCE=C0B-E010"
"C0B4-E009","LAND_OCCUPANCY","14010020000","ARROZ","Piura valleys","P1_OFFICIAL","GORE Piura DRAP","Gore Piura aprueba calendario oficial de la Campana Agricola Grande 2025-2026 de arroz y algodon","2025-11-18","https://www.gob.pe/institucion/regionpiura-dra/noticias/1291910-gore-piura-aprueba-calendario-oficial-de-la-campana-agricola-grande-2025-2026-de-los-cultivos-de-arroz-y-algodon","Calendar text","almacigo;siembra directa;trasplante","TRANSIENT_MONTHLY_SOWN_FLOW","date","","","","CAMPAIGN","Piura rice valleys","PRIMARY_OFFICIAL","CONTEXT_ONLY","The calendar separates nursery installation, direct sowing, and transplant dates and confirms that establishment timing varies by production system.","The page does not provide harvest dates or a crop-general field-occupation duration.","NO_OCCUPANCY_KERNEL_AUTHORIZED"
"C0B4-E010","CROP_DURATION","14010020000","ARROZ","Crop context","P2_OFFICIAL_CROP_CONTEXT","INIA","Arroz INIA 508 - Tinajones","2007","https://www.inia.gob.pe/wp-content/uploads/investigacion/programa/sistProductivo/variedad/arroz/INIA_508.pdf","Quantitative characteristics table","days to total grain maturity","LAND_OCCUPANCY","day","142","","","DAY","Coastal cultivar with Piura field performance","OFFICIAL_CULTIVAR_CONTEXT","SENSITIVITY_ONLY","INIA 508 reports 142 days to total grain maturity and documents performance in Piura.","One cultivar maturity value is not a crop-general field-vacancy date and does not cover all sowing or transplant systems.","INIA_RICE_508_SHA256=17b7959a68e81dc53561e187d632f2fd09d7b122b9968d814534ce61d07abbc5; HTTP_200_APPLICATION_PDF"
