MODEL_ID,CROP_CODE,CROP,TEMPORAL_REGIME,CANDIDATE,CLIMATE_FAMILY,WINDOW_SET,OBSERVATIONS,DISTRICTS,PERIODS,CLUSTER_SIZE_MIN,CLUSTER_SIZE_MEDIAN,CLUSTER_SIZE_MAX,PERIOD_SIZE_MIN,PERIOD_SIZE_MEDIAN,PERIOD_SIZE_MAX,MISSING_X_CELLS,WITHIN_VARIANCE_JSON,WITHIN_RANK,REGRESSORS,MAX_ABS_PAIRWISE_CORRELATION,CONDITION_NUMBER,MAX_VIF,PARTIAL_OBSERVATION_LEVERAGE_MAX,PARTIAL_CLUSTER_LEVERAGE_MEDIAN,PARTIAL_CLUSTER_LEVERAGE_MAX,FULL_DESIGN_RANK,IMPLIED_RESIDUAL_DF,PRIMARY_INFERENCE_COMPUTATION_FEASIBLE,GEOMETRY_VERDICT
ED1-RICE,14010020000,RICE,DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,PRIMARY_SINGLE_WINDOW,LEVEL,RICE_FLOWERING_95_110_DAS,281,44,7,1,7.0,7,36,41.0,44,0,"{""RAIN_MM"":2537.016846693058,""TMAX_C"":0.235390841528,""TMIN_C"":0.247455480088}",3,3,0.637377969988,2.177147640837,1.719528041082,0.297675452237,0.045988851849,0.389381117174,53,228,TRUE,PASS
ED1-RICE,14010020000,RICE,DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,PRIMARY_SINGLE_WINDOW,PHYSICAL_ANOMALY,RICE_FLOWERING_95_110_DAS,281,44,7,1,7.0,7,36,41.0,44,0,"{""RAIN_ANOM_MM"":1946.649451962633,""TMAX_ANOM_C"":0.17341458099,""TMIN_ANOM_C"":0.184106465064}",3,3,0.529367227571,1.837670475037,1.406103062094,0.286471420003,0.05101437093,0.366298711323,53,228,TRUE,PASS
ED1-RICE,14010020000,RICE,DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,PRIMARY_SINGLE_WINDOW,STANDARDIZED_ANOMALY,RICE_FLOWERING_95_110_DAS,281,44,7,1,7.0,7,36,41.0,44,0,"{""RAIN_Z"":0.266155363031,""TMAX_Z"":0.199836078318,""TMIN_Z"":0.1509822706}",3,3,0.330216930161,1.654740669891,1.274110336408,0.09758651851,0.060179330841,0.153544086392,53,228,TRUE,PASS
ED1-MAD,14010070000,MAIZ_AMARILLO_DURO,DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,PRIMARY_SINGLE_WINDOW,LEVEL,MAD_MPLUS1_MPLUS3,318,54,7,1,7.0,7,39,46.0,49,0,"{""RAIN_MM"":35675.32078526478,""TMAX_C"":0.347193894048,""TMIN_C"":0.488209643504}",3,3,0.743744790755,3.661108794505,3.836123820943,0.072028062805,0.047676297584,0.149952408791,63,255,TRUE,PASS
ED1-MAD,14010070000,MAIZ_AMARILLO_DURO,DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,PRIMARY_SINGLE_WINDOW,PHYSICAL_ANOMALY,MAD_MPLUS1_MPLUS3,318,54,7,1,7.0,7,39,46.0,49,0,"{""RAIN_ANOM_MM"":25235.166300157176,""TMAX_ANOM_C"":0.053211648803,""TMIN_ANOM_C"":0.061845108719}",3,3,0.44192134338,1.762469114305,1.356687858977,0.072661331783,0.046055428175,0.147050868368,63,255,TRUE,PASS
ED1-MAD,14010070000,MAIZ_AMARILLO_DURO,DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,PRIMARY_SINGLE_WINDOW,STANDARDIZED_ANOMALY,MAD_MPLUS1_MPLUS3,318,54,7,1,7.0,7,39,46.0,49,0,"{""RAIN_Z"":0.303089152135,""TMAX_Z"":0.126898983328,""TMIN_Z"":0.127617961292}",3,3,0.602831241072,2.04074994548,1.581203020012,0.077994277349,0.043660894288,0.169955524737,63,255,TRUE,PASS
ED1-MANGO,13010210000,MANGO,DISTRICT_X_CALENDAR_YEAR,PRIMARY_SINGLE_WINDOW,LEVEL,MANGO_MAY_JUN_CURRENT_YEAR,255,36,8,1,8.0,8,30,31.0,36,0,"{""RAIN_MM"":148.227557734804,""TMAX_C"":0.147143504218,""TMIN_C"":0.082090581197}",3,3,0.276713540806,1.346246578108,1.089592885282,0.152082149568,0.065347385835,0.281459134967,46,209,TRUE,PASS
ED1-MANGO,13010210000,MANGO,DISTRICT_X_CALENDAR_YEAR,PRIMARY_SINGLE_WINDOW,PHYSICAL_ANOMALY,MANGO_MAY_JUN_CURRENT_YEAR,255,36,8,1,8.0,8,30,31.0,36,0,"{""RAIN_ANOM_MM"":148.227557734804,""TMAX_ANOM_C"":0.147143504218,""TMIN_ANOM_C"":0.082090581197}",3,3,0.276713540806,1.346246578108,1.089592885282,0.152082149568,0.065347385835,0.281459134967,46,209,TRUE,PASS
ED1-MANGO,13010210000,MANGO,DISTRICT_X_CALENDAR_YEAR,PRIMARY_SINGLE_WINDOW,STANDARDIZED_ANOMALY,MANGO_MAY_JUN_CURRENT_YEAR,255,36,8,1,8.0,8,30,31.0,36,0,"{""RAIN_Z"":0.140223664607,""TMAX_Z"":0.145368237638,""TMIN_Z"":0.059575216003}",3,3,0.130321874028,1.227809035766,1.038273825246,0.128213523289,0.082142678631,0.186364910002,46,209,TRUE,PASS
ED1-LEMON,13010170102,LIMON_SUTIL,DISTRICT_X_CALENDAR_YEAR,P2_SEPARATE_WINDOW_DIAGNOSTIC,LEVEL,LEMON_FULL_YEAR_T,311,44,8,1,8.0,8,35,38.5,44,0,"{""RAIN_MM"":14499.44132307608,""TMAX_C"":0.03697287503,""TMIN_C"":0.050705957693}",3,3,0.475386559793,1.716468584668,1.314165264799,0.045976806887,0.066837502762,0.172940321668,54,257,TRUE,PASS
ED1-LEMON,13010170102,LIMON_SUTIL,DISTRICT_X_CALENDAR_YEAR,P2_SEPARATE_WINDOW_DIAGNOSTIC,LEVEL,LEMON_FULL_YEAR_T_MINUS_1,311,44,8,1,8.0,8,35,38.5,44,0,"{""RAIN_MM"":10804.609258450859,""TMAX_C"":0.029480446354,""TMIN_C"":0.034636336426}",3,3,0.345783478208,1.447850549927,1.142381895624,0.089573934913,0.062688081827,0.241610154928,54,257,TRUE,PASS
ED1-LEMON,13010170102,LIMON_SUTIL,DISTRICT_X_CALENDAR_YEAR,P1_JOINT_T_AND_T_MINUS_1_LINEAR,LEVEL,LEMON_FULL_YEAR_T|LEMON_FULL_YEAR_T_MINUS_1,311,44,8,1,8.0,8,35,38.5,44,0,"{""RAIN_MM__T"":14499.441323076086,""RAIN_MM__T_MINUS_1"":10804.60925845085,""TMAX_C__T"":0.03697287503,""TMAX_C__T_MINUS_1"":0.029480446354,""TMIN_C__T"":0.050705957693,""TMIN_C__T_MINUS_1"":0.034636336426}",6,6,0.475386559793,2.223403539903,1.609280256563,0.111930272503,0.130807534491,0.426712836457,57,254,TRUE,PASS
ED1-LEMON,13010170102,LIMON_SUTIL,DISTRICT_X_CALENDAR_YEAR,P2_SEPARATE_WINDOW_DIAGNOSTIC,PHYSICAL_ANOMALY,LEMON_FULL_YEAR_T,311,44,8,1,8.0,8,35,38.5,44,0,"{""RAIN_ANOM_MM"":14499.441323076098,""TMAX_ANOM_C"":0.03697287503,""TMIN_ANOM_C"":0.050705957693}",3,3,0.475386559793,1.716468584668,1.314165264799,0.045976806887,0.066837502762,0.172940321668,54,257,TRUE,PASS
ED1-LEMON,13010170102,LIMON_SUTIL,DISTRICT_X_CALENDAR_YEAR,P2_SEPARATE_WINDOW_DIAGNOSTIC,PHYSICAL_ANOMALY,LEMON_FULL_YEAR_T_MINUS_1,311,44,8,1,8.0,8,35,38.5,44,0,"{""RAIN_ANOM_MM"":10804.609258450848,""TMAX_ANOM_C"":0.029480446354,""TMIN_ANOM_C"":0.034636336426}",3,3,0.345783478208,1.447850549927,1.142381895624,0.089573934913,0.062688081827,0.241610154928,54,257,TRUE,PASS
ED1-LEMON,13010170102,LIMON_SUTIL,DISTRICT_X_CALENDAR_YEAR,P1_JOINT_T_AND_T_MINUS_1_LINEAR,PHYSICAL_ANOMALY,LEMON_FULL_YEAR_T|LEMON_FULL_YEAR_T_MINUS_1,311,44,8,1,8.0,8,35,38.5,44,0,"{""RAIN_ANOM_MM__T"":14499.441323076102,""RAIN_ANOM_MM__T_MINUS_1"":10804.609258450855,""TMAX_ANOM_C__T"":0.03697287503,""TMAX_ANOM_C__T_MINUS_1"":0.029480446354,""TMIN_ANOM_C__T"":0.050705957693,""TMIN_ANOM_C__T_MINUS_1"":0.034636336426}",6,6,0.475386559793,2.223403539903,1.609280256563,0.111930272503,0.130807534491,0.426712836457,57,254,TRUE,PASS
ED1-LEMON,13010170102,LIMON_SUTIL,DISTRICT_X_CALENDAR_YEAR,P2_SEPARATE_WINDOW_DIAGNOSTIC,STANDARDIZED_ANOMALY,LEMON_FULL_YEAR_T,311,44,8,1,8.0,8,35,38.5,44,0,"{""RAIN_Z"":0.032988188151,""TMAX_Z"":0.072847978211,""TMIN_Z"":0.0345174978}",3,3,0.330681901343,1.500666945063,1.165476235631,0.059770879768,0.057832325221,0.232704576319,54,257,TRUE,PASS
ED1-LEMON,13010170102,LIMON_SUTIL,DISTRICT_X_CALENDAR_YEAR,P2_SEPARATE_WINDOW_DIAGNOSTIC,STANDARDIZED_ANOMALY,LEMON_FULL_YEAR_T_MINUS_1,311,44,8,1,8.0,8,35,38.5,44,0,"{""RAIN_Z"":0.018505199151,""TMAX_Z"":0.063820532648,""TMIN_Z"":0.033268925534}",3,3,0.236200804956,1.37567865979,1.104190685178,0.068256022462,0.054379292534,0.279674262398,54,257,TRUE,PASS
