AGGREGATION,AGGREGATION_IMPLEMENTATION,AUDIT_STAGE,CROP,CROP_CODE,ER1_VARIABLE,EXPOSURE_SPEC_FILE,EXPOSURE_SPEC_SHA256,FINAL_ANALYTICAL_X_UNIT_SD_CLAIMED,FORMULA_IMPLEMENTATION,FORMULA_IMPLEMENTATION_SHA256,MONTHLY_FILE,MONTHLY_SHA256,NORMALS_FILE,NORMALS_SHA256,REFERENCE_PERIOD_SELECTED_USING_OUTCOMES,REFERENCE_POPULATION,REFERENCE_SD,SOURCE_CLIMATE_FAMILY,SOURCE_COLUMN,SOURCE_FILE,SOURCE_SHA256,STANDARDIZATION_RECOMPUTED,UPSTREAM_MONTHLY_FORMULA,VARIABLE,WINDOW
MEAN_MONTHLY_Z_PER_COHORT_THEN_POSITIVE_OBSERVED_UNAMBIGUOUS_SIEMBRA_WEIGHTED_MEAN,scripts/build_transient_cohort_exposures.py|scripts/primary_transient_exposure_v1.py,BEFORE_ANY_R2_ESTIMATION,RICE,14010020000,RAIN_ANOM_MM,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,RAIN_Z,data/processed/phenology/transient_econometric_exposures_v1.parquet,ed90c70a7538318234a0390176b468a66f8a24a99fa59717efe5e8974cf09a67,FALSE,(RAIN_MM-RAIN_NORMAL)/RAIN_SD; SD>0 else NaN,RAIN_Z,RICE_FLOWERING_95_110_DAS
MEAN_MONTHLY_Z_PER_COHORT_THEN_POSITIVE_OBSERVED_UNAMBIGUOUS_SIEMBRA_WEIGHTED_MEAN,scripts/build_transient_cohort_exposures.py|scripts/primary_transient_exposure_v1.py,BEFORE_ANY_R2_ESTIMATION,RICE,14010020000,TMAX_ANOM_C,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,TMAX_Z,data/processed/phenology/transient_econometric_exposures_v1.parquet,ed90c70a7538318234a0390176b468a66f8a24a99fa59717efe5e8974cf09a67,FALSE,(TMAX_C-TMAX_NORMAL)/TMAX_SD; SD>0 else NaN,TMAX_Z,RICE_FLOWERING_95_110_DAS
MEAN_MONTHLY_Z_PER_COHORT_THEN_POSITIVE_OBSERVED_UNAMBIGUOUS_SIEMBRA_WEIGHTED_MEAN,scripts/build_transient_cohort_exposures.py|scripts/primary_transient_exposure_v1.py,BEFORE_ANY_R2_ESTIMATION,RICE,14010020000,TMIN_ANOM_C,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,TMIN_Z,data/processed/phenology/transient_econometric_exposures_v1.parquet,ed90c70a7538318234a0390176b468a66f8a24a99fa59717efe5e8974cf09a67,FALSE,(TMIN_C-TMIN_NORMAL)/TMIN_SD; SD>0 else NaN,TMIN_Z,RICE_FLOWERING_95_110_DAS
MEAN_MONTHLY_Z_PER_COHORT_THEN_POSITIVE_OBSERVED_UNAMBIGUOUS_SIEMBRA_WEIGHTED_MEAN,scripts/build_transient_cohort_exposures.py|scripts/primary_transient_exposure_v1.py,BEFORE_ANY_R2_ESTIMATION,MAIZ_AMARILLO_DURO,14010070000,RAIN_ANOM_MM,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,RAIN_Z,data/processed/phenology/transient_econometric_exposures_v1.parquet,ed90c70a7538318234a0390176b468a66f8a24a99fa59717efe5e8974cf09a67,FALSE,(RAIN_MM-RAIN_NORMAL)/RAIN_SD; SD>0 else NaN,RAIN_Z,MAD_MPLUS1_MPLUS3
MEAN_MONTHLY_Z_PER_COHORT_THEN_POSITIVE_OBSERVED_UNAMBIGUOUS_SIEMBRA_WEIGHTED_MEAN,scripts/build_transient_cohort_exposures.py|scripts/primary_transient_exposure_v1.py,BEFORE_ANY_R2_ESTIMATION,MAIZ_AMARILLO_DURO,14010070000,TMAX_ANOM_C,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,TMAX_Z,data/processed/phenology/transient_econometric_exposures_v1.parquet,ed90c70a7538318234a0390176b468a66f8a24a99fa59717efe5e8974cf09a67,FALSE,(TMAX_C-TMAX_NORMAL)/TMAX_SD; SD>0 else NaN,TMAX_Z,MAD_MPLUS1_MPLUS3
MEAN_MONTHLY_Z_PER_COHORT_THEN_POSITIVE_OBSERVED_UNAMBIGUOUS_SIEMBRA_WEIGHTED_MEAN,scripts/build_transient_cohort_exposures.py|scripts/primary_transient_exposure_v1.py,BEFORE_ANY_R2_ESTIMATION,MAIZ_AMARILLO_DURO,14010070000,TMIN_ANOM_C,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,TMIN_Z,data/processed/phenology/transient_econometric_exposures_v1.parquet,ed90c70a7538318234a0390176b468a66f8a24a99fa59717efe5e8974cf09a67,FALSE,(TMIN_C-TMIN_NORMAL)/TMIN_SD; SD>0 else NaN,TMIN_Z,MAD_MPLUS1_MPLUS3
ARITHMETIC_MEAN_MONTHLY_Z_IN_FROZEN_WINDOW,scripts/build_perennial_exposures.py,BEFORE_ANY_R2_ESTIMATION,MANGO,13010210000,RAIN_ANOM_MM,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,RAIN_Z,data/processed/phenology/perennial_exposures_long.parquet,3fde5c7fc7a00f4c6600a18f60935bad213408ffa2ba3bac5828603e46984714,FALSE,(RAIN_MM-RAIN_NORMAL)/RAIN_SD; SD>0 else NaN,RAIN_Z,MANGO_MAY_JUN_CURRENT_YEAR
ARITHMETIC_MEAN_MONTHLY_Z_IN_FROZEN_WINDOW,scripts/build_perennial_exposures.py,BEFORE_ANY_R2_ESTIMATION,MANGO,13010210000,TMAX_ANOM_C,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,TMAX_Z,data/processed/phenology/perennial_exposures_long.parquet,3fde5c7fc7a00f4c6600a18f60935bad213408ffa2ba3bac5828603e46984714,FALSE,(TMAX_C-TMAX_NORMAL)/TMAX_SD; SD>0 else NaN,TMAX_Z,MANGO_MAY_JUN_CURRENT_YEAR
ARITHMETIC_MEAN_MONTHLY_Z_IN_FROZEN_WINDOW,scripts/build_perennial_exposures.py,BEFORE_ANY_R2_ESTIMATION,MANGO,13010210000,TMIN_ANOM_C,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,TMIN_Z,data/processed/phenology/perennial_exposures_long.parquet,3fde5c7fc7a00f4c6600a18f60935bad213408ffa2ba3bac5828603e46984714,FALSE,(TMIN_C-TMIN_NORMAL)/TMIN_SD; SD>0 else NaN,TMIN_Z,MANGO_MAY_JUN_CURRENT_YEAR
ARITHMETIC_MEAN_MONTHLY_Z_IN_FROZEN_WINDOW,scripts/build_perennial_exposures.py,BEFORE_ANY_R2_ESTIMATION,LIMON_SUTIL,13010170102,RAIN_ANOM_MM__T,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,RAIN_Z,data/processed/phenology/perennial_exposures_long.parquet,3fde5c7fc7a00f4c6600a18f60935bad213408ffa2ba3bac5828603e46984714,FALSE,(RAIN_MM-RAIN_NORMAL)/RAIN_SD; SD>0 else NaN,RAIN_Z__T,LEMON_FULL_YEAR_T
ARITHMETIC_MEAN_MONTHLY_Z_IN_FROZEN_WINDOW,scripts/build_perennial_exposures.py,BEFORE_ANY_R2_ESTIMATION,LIMON_SUTIL,13010170102,TMAX_ANOM_C__T,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,TMAX_Z,data/processed/phenology/perennial_exposures_long.parquet,3fde5c7fc7a00f4c6600a18f60935bad213408ffa2ba3bac5828603e46984714,FALSE,(TMAX_C-TMAX_NORMAL)/TMAX_SD; SD>0 else NaN,TMAX_Z__T,LEMON_FULL_YEAR_T
ARITHMETIC_MEAN_MONTHLY_Z_IN_FROZEN_WINDOW,scripts/build_perennial_exposures.py,BEFORE_ANY_R2_ESTIMATION,LIMON_SUTIL,13010170102,TMIN_ANOM_C__T,config/climate_exposure/climate_exposure_spec_v1.json,e2e1eabbf8530cb0dfe8538d12f12d73a6a8e77c0e773351b593a14cbe1e268a,FALSE,scripts/climate_v1_1_pipeline.py:build_primary_tables,2d2c058afefd801f1eccc9365f849a0b8f47668aacf8da585bde52c720bedaa6,data/processed/climate/climate_anomalies.parquet,11a1fc61cab062faf70e3f12d2a06f050a2ccf094273807192943ad130deb6df,data/processed/climate/climate_normals_1991_2020.parquet,b9dfb3bb1c51229b68f06c49c2b815c086f931896f39ad70f9a96852a9a07717,FALSE,WHOLE_DISTRICT_UBIGEO_X_CALENDAR_MONTH_1991_2020_30_ANNUAL_VALUES,SAMPLE_SD_DDOF_1_PANDAS_GROUPBY_STD,STANDARDIZED_ANOMALY,TMIN_Z,data/processed/phenology/perennial_exposures_long.parquet,3fde5c7fc7a00f4c6600a18f60935bad213408ffa2ba3bac5828603e46984714,FALSE,(TMIN_C-TMIN_NORMAL)/TMIN_SD; SD>0 else NaN,TMIN_Z__T,LEMON_FULL_YEAR_T
