CROP_CODE,CROP,MODEL_ID,CLIMATE_VARIABLE,WINDOW,ER1_BETA_REFERENCE,ER1_CR2_STANDARD_ERROR_REFERENCE,ER1_SATTERTHWAITE_DF_REFERENCE,ER1_CR2_P_REFERENCE,ER1_CR2_HOLM_P_REFERENCE,R3_OBSERVED_ABSOLUTE_T,WCR_EXCEEDANCE_COUNT,INVALID_REPLICATIONS,WCR_P_NUMERATOR,WCR_P_DENOMINATOR,WCR_RAW_P,WITHIN_CROP_HOLM_WCR_P,CR2_HOLM_STATUS,WCR_HOLM_STATUS,INFERENCE_COMPARISON,PRIMARY_CLIMATE_FAMILY,OUTCOME_SCALE,R3_MODEL_SPECIFICATION_CHANGE
14010020000,RICE,ED1-RICE,RAIN_ANOM_MM,RICE_FLOWERING_95_110_DAS,0.0011037394218762486,0.00088239450232378055,4.9199938242544086,0.26717906808487252,0.80153720425461761,1.2508457599968694,1362,0,1363,10000,0.1363,0.40890000000000004,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
14010020000,RICE,ED1-RICE,TMAX_ANOM_C,RICE_FLOWERING_95_110_DAS,0.0089764891920362522,0.14532957498330765,20.757481078567611,0.95133971432404518,0.95133971432404518,0.061766431182823087,9534,0,9535,10000,0.95350000000000001,0.95820000000000005,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
14010020000,RICE,ED1-RICE,TMIN_ANOM_C,RICE_FLOWERING_95_110_DAS,0.091437121470065885,0.12543260084185909,19.815441676122095,0.47454610853043688,0.94909221706087377,0.72897413317097859,4790,0,4791,10000,0.47910000000000003,0.95820000000000005,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
14010070000,MAIZ_AMARILLO_DURO,ED1-MAD,RAIN_ANOM_MM,MAD_MPLUS1_MPLUS3,0.00012564522471647521,0.00025458495842407993,25.033294856014326,0.62594060536375018,1,0.49352964721183251,6251,0,6252,10000,0.62519999999999998,1,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
14010070000,MAIZ_AMARILLO_DURO,ED1-MAD,TMAX_ANOM_C,MAD_MPLUS1_MPLUS3,0.23699616341331953,0.14878740866386259,28.633839345881704,0.12217434232714591,0.36652302698143774,1.5928509377111648,1417,0,1418,10000,0.14180000000000001,0.4254,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
14010070000,MAIZ_AMARILLO_DURO,ED1-MAD,TMIN_ANOM_C,MAD_MPLUS1_MPLUS3,-0.087388917881000228,0.21385595129036852,33.668899333872616,0.68539544319090595,1,0.40863449136413749,6874,0,6875,10000,0.6875,1,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
13010210000,MANGO,ED1-MANGO,RAIN_ANOM_MM,MANGO_MAY_JUN_CURRENT_YEAR,-0.0017475498782406618,0.020536870189962517,11.29714328044737,0.93367656534030652,1,0.085093291337780583,9332,0,9333,10000,0.93330000000000002,1,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
13010210000,MANGO,ED1-MANGO,TMAX_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,0.55634150583162256,0.83107361099032051,20.485841446325121,0.51069940391435398,1,0.66942506472882224,5155,0,5156,10000,0.51559999999999995,1,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
13010210000,MANGO,ED1-MANGO,TMIN_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,0.65834191561220345,0.90395436443403754,19.737656667708141,0.4749880257620489,1,0.72829109689006988,4714,0,4715,10000,0.47149999999999997,1,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
13010170102,LIMON_SUTIL,ED1-LEMON,RAIN_ANOM_MM__T,LEMON_FULL_YEAR_T,-0.0037808833821428856,0.0032957959011901817,21.529298238840443,0.26389502502498591,1,1.1471837138876011,2703,0,2704,10000,0.27039999999999997,1,NOT_BELOW_0.05,NOT_BELOW_0.05,CONSISTENCY,PHYSICAL_ANOMALY,YIELD_LEVEL_TM_PER_HA,FALSE
