MAP_ORDER,CROP,CROP_CODE,MODEL_ID,COEFFICIENT_NAME,ED1_REGRESSOR_POSITION_ZERO_BASED,ED1_REGRESSOR_POSITION_ONE_BASED,FROZEN_PERIOD_KEY_ARCHITECTURE,EXPECTED_REAL_R4_BANDWIDTHS_KM,MAPPING_STATUS
1,RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,0,1,CAMPAIGN_ID:DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,50|100|150,PASS_EXACT_FROZEN_ORDER
2,RICE,14010020000,ED1-RICE,TMAX_ANOM_C,1,2,CAMPAIGN_ID:DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,50|100|150,PASS_EXACT_FROZEN_ORDER
3,RICE,14010020000,ED1-RICE,TMIN_ANOM_C,2,3,CAMPAIGN_ID:DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,50|100|150,PASS_EXACT_FROZEN_ORDER
4,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,0,1,CAMPAIGN_ID:DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,50|100|150,PASS_EXACT_FROZEN_ORDER
5,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMAX_ANOM_C,1,2,CAMPAIGN_ID:DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,50|100|150,PASS_EXACT_FROZEN_ORDER
6,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMIN_ANOM_C,2,3,CAMPAIGN_ID:DISTRICT_X_AUG_JUL_AGRICULTURAL_CAMPAIGN,50|100|150,PASS_EXACT_FROZEN_ORDER
7,MANGO,13010210000,ED1-MANGO,RAIN_ANOM_MM,0,1,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
8,MANGO,13010210000,ED1-MANGO,TMAX_ANOM_C,1,2,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
9,MANGO,13010210000,ED1-MANGO,TMIN_ANOM_C,2,3,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
10,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T,0,1,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
11,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T,1,2,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
12,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T,2,3,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
13,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T_MINUS_1,3,4,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
14,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T_MINUS_1,4,5,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
15,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T_MINUS_1,5,6,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
16,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T,0,1,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
17,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMAX_ANOM_C__T,1,2,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
18,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMIN_ANOM_C__T,2,3,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
19,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T_MINUS_1,3,4,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
20,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMAX_ANOM_C__T_MINUS_1,4,5,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
21,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMIN_ANOM_C__T_MINUS_1,5,6,REFERENCE_PERIOD_ID:DISTRICT_X_CALENDAR_YEAR,50|100|150,PASS_EXACT_FROZEN_ORDER
