UBIGEO,SOURCE_GEOMETRY_SHA256,SOURCE_CRS,TARGET_CRS,CENTROID_METHOD,CENTROID_X_M,CENTROID_Y_M,FINITE_XY,GEOMETRY_VALID,GEOMETRY_EMPTY,UNIQUE_UBIGEO_STATUS
200101,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,537849.305424607,9438262.994955549,TRUE,TRUE,FALSE,PASS
200104,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,553733.856461703,9432840.482797764,TRUE,TRUE,FALSE,PASS
200105,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,570320.649708906,9395288.478186855,TRUE,TRUE,FALSE,PASS
200107,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,545862.873800455,9407792.443143712,TRUE,TRUE,FALSE,PASS
200108,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,543051.486357633,9398541.465735223,TRUE,TRUE,FALSE,PASS
200109,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,526306.776092002,9413175.180432949,TRUE,TRUE,FALSE,PASS
200110,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,514624.436456728,9410538.396706384,TRUE,TRUE,FALSE,PASS
200111,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,585639.628474497,9481319.478666050,TRUE,TRUE,FALSE,PASS
200114,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,574179.577464119,9456202.570960132,TRUE,TRUE,FALSE,PASS
200201,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,654563.240118096,9481822.365030244,TRUE,TRUE,FALSE,PASS
200202,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,614085.987437974,9455283.748286430,TRUE,TRUE,FALSE,PASS
200203,d966d2a38e80d6575490be32bde2e39b7db66a3c6e99b240e9c21458766d099b,EPSG:4326,EPSG:32717,PROJECT_GEOMETRY_THEN_CENTROID_AS_ED1,629608.190871797,9498982.943902813,TRUE,TRUE,FALSE,PASS
