MAP_ORDER,CROP,CROP_CODE,MODEL_ID,VARIABLE,WINDOW,ER1_BETA,ER1_SIGN,ER1_CR2_P,ER1_CR2_HOLM_P,ER1_CR2_HOLM_STATUS,R3_WCR_P,R3_WCR_HOLM_P,R3_WCR_HOLM_STATUS,R4_50_CI_ZERO_INCLUDED,R4_100_CI_ZERO_INCLUDED,R4_150_CI_ZERO_INCLUDED,BANDWIDTH_SENSITIVITY
1,RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,RICE_FLOWERING_95_110_DAS,0.0011037394218762486,POSITIVE,0.26717906808487252,0.80153720425461761,NOT_BELOW_0.05,0.1363,0.40890000000000004,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
2,RICE,14010020000,ED1-RICE,TMAX_ANOM_C,RICE_FLOWERING_95_110_DAS,0.0089764891920362522,POSITIVE,0.95133971432404518,0.95133971432404518,NOT_BELOW_0.05,0.95350000000000001,0.95820000000000005,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
3,RICE,14010020000,ED1-RICE,TMIN_ANOM_C,RICE_FLOWERING_95_110_DAS,0.091437121470065885,POSITIVE,0.47454610853043688,0.94909221706087377,NOT_BELOW_0.05,0.47910000000000003,0.95820000000000005,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
4,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,MAD_MPLUS1_MPLUS3,0.00012564522471647521,POSITIVE,0.62594060536375018,1,NOT_BELOW_0.05,0.62519999999999998,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
5,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMAX_ANOM_C,MAD_MPLUS1_MPLUS3,0.23699616341331953,POSITIVE,0.12217434232714591,0.36652302698143774,NOT_BELOW_0.05,0.14180000000000001,0.4254,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
6,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMIN_ANOM_C,MAD_MPLUS1_MPLUS3,-0.087388917881000228,NEGATIVE,0.68539544319090595,1,NOT_BELOW_0.05,0.6875,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
7,MANGO,13010210000,ED1-MANGO,RAIN_ANOM_MM,MANGO_MAY_JUN_CURRENT_YEAR,-0.0017475498782406618,NEGATIVE,0.93367656534030652,1,NOT_BELOW_0.05,0.93330000000000002,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
8,MANGO,13010210000,ED1-MANGO,TMAX_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,0.55634150583162256,POSITIVE,0.51069940391435398,1,NOT_BELOW_0.05,0.51559999999999995,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
9,MANGO,13010210000,ED1-MANGO,TMIN_ANOM_C,MANGO_MAY_JUN_CURRENT_YEAR,0.65834191561220345,POSITIVE,0.4749880257620489,1,NOT_BELOW_0.05,0.47149999999999997,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
10,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T,LEMON_FULL_YEAR_T,-0.0037808833821428856,NEGATIVE,0.26389502502498591,1,NOT_BELOW_0.05,0.27039999999999997,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
11,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T,LEMON_FULL_YEAR_T,-0.02245610058744385,NEGATIVE,0.98995398625542264,1,NOT_BELOW_0.05,0.99050000000000005,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
12,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T,LEMON_FULL_YEAR_T,0.59762633706658086,POSITIVE,0.67121309858346478,1,NOT_BELOW_0.05,0.67379999999999995,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
13,LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,5.0193201688308875e-06,POSITIVE,0.99835497871514389,1,NOT_BELOW_0.05,0.99829999999999997,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
14,LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,-0.93145677254736037,NEGATIVE,0.52078504899220313,1,NOT_BELOW_0.05,0.52439999999999998,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
15,LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T_MINUS_1,LEMON_FULL_YEAR_T_MINUS_1,-4.0857132490015609,NEGATIVE,0.02293415013097283,0.13760490078583698,NOT_BELOW_0.05,0.021299999999999999,0.1278,NOT_BELOW_0.05,FALSE,FALSE,FALSE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
16,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T,BANANA_FULL_YEAR_T,-0.0021023420826074002,NEGATIVE,0.38348222007917365,1,NOT_BELOW_0.05,0.38,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
17,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMAX_ANOM_C__T,BANANA_FULL_YEAR_T,-0.32534946598061909,NEGATIVE,0.82806334023217565,1,NOT_BELOW_0.05,0.83979999999999999,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
18,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMIN_ANOM_C__T,BANANA_FULL_YEAR_T,-0.036208197506074846,NEGATIVE,0.96927852775588019,1,NOT_BELOW_0.05,0.96840000000000004,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
19,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T_MINUS_1,BANANA_FULL_YEAR_T_MINUS_1,0.0027760812499826315,POSITIVE,0.34452148246005132,1,NOT_BELOW_0.05,0.35570000000000002,1,NOT_BELOW_0.05,TRUE,TRUE,TRUE,CI_ZERO_INCLUSION_STABLE_ACROSS_PRESPECIFIED_BANDWIDTHS
