CROP,CROP_CODE,MODEL_ID,BANDWIDTH_KM,N,DISTRICTS,PERIODS,K,MATRIX_FINITE,MAX_SYMMETRY_DIFFERENCE,MIN_DIAGONAL_VARIANCE,MAX_DIAGONAL_VARIANCE,NONPOSITIVE_DIAGONAL_COUNT,NONFINITE_DIAGONAL_COUNT,STATUS
RICE,14010020000,ED1-RICE,50,281,44,7,3,TRUE,1.7347234759768071e-18,8.9611808263438102e-07,0.035732643260026307,0,0,PASS
RICE,14010020000,ED1-RICE,100,281,44,7,3,TRUE,5.2041704279304213e-18,1.2950966839295793e-06,0.044726025417560412,0,0,PASS
RICE,14010020000,ED1-RICE,150,281,44,7,3,TRUE,2.6020852139652106e-17,1.678019642865026e-06,0.049476011561196957,0,0,PASS
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,50,318,54,7,3,TRUE,3.4694469519536142e-18,4.9382074845428166e-08,0.023070143331525111,0,0,PASS
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,100,318,54,7,3,TRUE,4.9873299934333204e-18,4.8928414476886431e-08,0.024636785728723781,0,0,PASS
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,150,318,54,7,3,TRUE,1.3010426069826053e-18,5.2923318343244298e-08,0.02459227569483103,0,0,PASS
MANGO,13010210000,ED1-MANGO,50,255,36,8,3,TRUE,2.7755575615628914e-17,0.00045635995347854773,0.95811979218120413,0,0,PASS
MANGO,13010210000,ED1-MANGO,100,255,36,8,3,TRUE,5.5511151231257827e-17,0.0004587005753764027,0.95770246319783792,0,0,PASS
MANGO,13010210000,ED1-MANGO,150,255,36,8,3,TRUE,8.6736173798840355e-17,0.00042039263632790303,0.81175278118054883,0,0,PASS
LIMON_SUTIL,13010170102,ED1-LEMON,50,311,44,8,6,TRUE,1.8179902028236938e-15,5.5393212659738245e-06,2.3261171158847378,0,0,PASS
LIMON_SUTIL,13010170102,ED1-LEMON,100,311,44,8,6,TRUE,5.5511151231257827e-16,5.3196944781651339e-06,2.3869987937394352,0,0,PASS
LIMON_SUTIL,13010170102,ED1-LEMON,150,311,44,8,6,TRUE,3.8857805861880479e-16,5.3759541496149233e-06,2.6299488185877764,0,0,PASS
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,50,390,54,8,6,TRUE,7.9797279894933126e-16,5.3967240660062953e-06,4.288647555834987,0,0,PASS
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,100,390,54,8,6,TRUE,3.8857805861880479e-16,5.8416706791305942e-06,5.1160935609439937,0,0,PASS
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,150,390,54,8,6,TRUE,8.0491169285323849e-16,6.0344227486231326e-06,6.0482495829391851,0,0,PASS
