REFIT_ORDER,CROP,CROP_CODE,MODEL_ID,PERIOD_ID_COLUMN,OMITTED_PERIOD_ID,OMITTED_PERIOD_ORDER,MANDATORY_NAMED_CASE,NOMINAL_PERIODS,RETAINED_PERIODS,OMISSION_SCOPE,REPORT_ALL_PERIODS,ESTIMATION_EXECUTED,STATUS
1,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2016/2017,1,LEAVE_2017_OUT,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
2,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2017/2018,2,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
3,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2018/2019,3,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
4,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2019/2020,4,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
5,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2020/2021,5,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
6,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2021/2022,6,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
7,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2022/2023,7,LEAVE_2023_OUT,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
8,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2016/2017,1,LEAVE_2017_OUT,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
9,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2017/2018,2,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
10,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2018/2019,3,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
11,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2019/2020,4,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
12,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2020/2021,5,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
13,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2021/2022,6,NONE,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
14,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2022/2023,7,LEAVE_2023_OUT,7,6,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
15,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2016,1,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
16,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2017,2,LEAVE_2017_OUT,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
17,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2018,3,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
18,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2019,4,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
19,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2020,5,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
20,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2021,6,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
21,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2022,7,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
22,MANGO,13010210000,ED1-MANGO,REFERENCE_PERIOD_ID,2023,8,LEAVE_2023_OUT,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
23,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2016,1,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
24,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2017,2,LEAVE_2017_OUT,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
25,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2018,3,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
26,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2019,4,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
27,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2020,5,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
28,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2021,6,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
29,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2022,7,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
30,LIMON_SUTIL,13010170102,ED1-LEMON,REFERENCE_PERIOD_ID,2023,8,LEAVE_2023_OUT,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
31,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2016,1,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
32,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2017,2,LEAVE_2017_OUT,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
33,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2018,3,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
34,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2019,4,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
35,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2020,5,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
36,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2021,6,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
37,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2022,7,NONE,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
38,PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,REFERENCE_PERIOD_ID,2023,8,LEAVE_2023_OUT,8,7,ONE_ENTIRE_PERIOD_OMITTED_PER_MODEL_ONLY,TRUE,FALSE,PLANNED_NOT_EXECUTED
