CROP,CROP_CODE,MODEL_ID,VARIABLE,PRIMARY_BETA_REFERENCE,PRIMARY_SIGN,R1_SIGN_WHERE_DISTINCT,R2_SIGN,WCR_P,CONLEY_CI_ZERO_INCLUSION_50_100_150,R5_SIGN_REVERSAL_COUNT,R5_BETA_RANGE
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,0.0011037394218762486,POSITIVE,POSITIVE,NEGATIVE,0.1363,TRUE|TRUE|TRUE,0,0.014257518819244823
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,0.0089764891920362522,POSITIVE,POSITIVE,NEGATIVE,0.95350000000000001,TRUE|TRUE|TRUE,3,0.37126128394999092
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,0.091437121470065885,POSITIVE,POSITIVE,POSITIVE,0.47910000000000003,TRUE|TRUE|TRUE,2,0.57781071608721923
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,0.00012564522471647521,POSITIVE,POSITIVE,POSITIVE,0.62519999999999998,TRUE|TRUE|TRUE,2,0.00096736015551213139
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMAX_ANOM_C,0.23699616341331953,POSITIVE,POSITIVE,POSITIVE,0.14180000000000001,TRUE|TRUE|TRUE,0,0.26736854031181179
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMIN_ANOM_C,-0.087388917881000228,NEGATIVE,NEGATIVE,NEGATIVE,0.6875,TRUE|TRUE|TRUE,2,0.43791134016136574
MANGO,13010210000,ED1-MANGO,RAIN_ANOM_MM,-0.0017475498782406618,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.93330000000000002,TRUE|TRUE|TRUE,5,0.02760900881820838
MANGO,13010210000,ED1-MANGO,TMAX_ANOM_C,0.55634150583162256,POSITIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.51559999999999995,TRUE|TRUE|TRUE,0,1.1203254724043781
MANGO,13010210000,ED1-MANGO,TMIN_ANOM_C,0.65834191561220345,POSITIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.47149999999999997,TRUE|TRUE|TRUE,1,1.7802465377109447
LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T,-0.0037808833821428856,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.27039999999999997,TRUE|TRUE|TRUE,1,0.0060492856008176332
LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T,-0.02245610058744385,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.99050000000000005,TRUE|TRUE|TRUE,4,2.7170250069074662
LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T,0.59762633706658086,POSITIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,NEGATIVE,0.67379999999999995,TRUE|TRUE|TRUE,1,3.5159582499295112
LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T_MINUS_1,5.0193201688308875e-06,POSITIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,NEGATIVE,0.99829999999999997,TRUE|TRUE|TRUE,5,0.0037322854269431494
LIMON_SUTIL,13010170102,ED1-LEMON,TMAX_ANOM_C__T_MINUS_1,-0.93145677254736037,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,NEGATIVE,0.52439999999999998,TRUE|TRUE|TRUE,1,4.3451293672743843
LIMON_SUTIL,13010170102,ED1-LEMON,TMIN_ANOM_C__T_MINUS_1,-4.0857132490015609,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,NEGATIVE,0.021299999999999999,FALSE|FALSE|FALSE,0,3.6912569967205049
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T,-0.0021023420826074002,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.38,TRUE|TRUE|TRUE,1,0.011583150283212884
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMAX_ANOM_C__T,-0.32534946598061909,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.83979999999999999,TRUE|TRUE|TRUE,3,6.3960715954275909
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMIN_ANOM_C__T,-0.036208197506074846,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,NEGATIVE,0.96840000000000004,TRUE|TRUE|TRUE,5,7.5109454965166886
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,RAIN_ANOM_MM__T_MINUS_1,0.0027760812499826315,POSITIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,NEGATIVE,0.35570000000000002,TRUE|TRUE|TRUE,1,0.0063137474096164325
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMAX_ANOM_C__T_MINUS_1,-1.3624230022402739,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.59160000000000001,TRUE|TRUE|TRUE,0,1.2287714237615703
PLATANOS_Y_BANANAS,15010040000,ED1-BANANA,TMIN_ANOM_C__T_MINUS_1,-6.5645586917721594,NEGATIVE,NOT_DISTINCT_EQUIVALENCE_ONLY,POSITIVE,0.00080000000000000004,FALSE|FALSE|FALSE,0,8.310794426124394
