CROP,CROP_CODE,MODEL_ID,VARIABLE,OMITTED_PERIOD_ID,OMITTED_PERIOD_ORDER,MANDATORY_NAMED_CASE,PRIMARY_BETA_REFERENCE,LOO_BETA,BETA_DIFFERENCE,ABS_BETA_DEVIATION,PRIMARY_SIGN,LOO_SIGN,SIGN_REVERSAL,RETAINED_N,RETAINED_PERIODS,MODEL_VALID,STATUS
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,2016/2017,1,LEAVE_2017_OUT,0.0011037394218762486,0.00027221776278778075,-0.00083152165908846783,0.00083152165908846783,POSITIVE,POSITIVE,FALSE,237,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,2017/2018,2,NONE,0.0011037394218762486,0.0011415723402692368,3.7832918392988191e-05,3.7832918392988191e-05,POSITIVE,POSITIVE,FALSE,242,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,2018/2019,3,NONE,0.0011037394218762486,0.0013749978605668844,0.00027125843869063582,0.00027125843869063582,POSITIVE,POSITIVE,FALSE,242,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,2019/2020,4,NONE,0.0011037394218762486,0.00095178726228384303,-0.0001519521595924056,0.0001519521595924056,POSITIVE,POSITIVE,FALSE,240,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,2020/2021,5,NONE,0.0011037394218762486,0.00082255992124402599,-0.00028117950063222263,0.00028117950063222263,POSITIVE,POSITIVE,FALSE,240,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,2021/2022,6,NONE,0.0011037394218762486,0.00034626782474989071,-0.00075747159712635792,0.00075747159712635792,POSITIVE,POSITIVE,FALSE,245,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,2022/2023,7,LEAVE_2023_OUT,0.0011037394218762486,0.014529736582032604,0.013425997160156355,0.013425997160156355,POSITIVE,POSITIVE,FALSE,240,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,2016/2017,1,LEAVE_2017_OUT,0.0089764891920362522,0.18429862540551101,0.17532213621347476,0.17532213621347476,POSITIVE,POSITIVE,FALSE,237,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,2017/2018,2,NONE,0.0089764891920362522,0.0069907322386034698,-0.0019857569534327824,0.0019857569534327824,POSITIVE,POSITIVE,FALSE,242,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,2018/2019,3,NONE,0.0089764891920362522,0.088021707272459837,0.079045218080423585,0.079045218080423585,POSITIVE,POSITIVE,FALSE,242,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,2019/2020,4,NONE,0.0089764891920362522,-0.012612498398121785,-0.021588987590158037,0.021588987590158037,POSITIVE,NEGATIVE,TRUE,240,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,2020/2021,5,NONE,0.0089764891920362522,0.071918697716305754,0.062942208524269502,0.062942208524269502,POSITIVE,POSITIVE,FALSE,240,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,2021/2022,6,NONE,0.0089764891920362522,-0.10418049613895541,-0.11315698533099167,0.11315698533099167,POSITIVE,NEGATIVE,TRUE,245,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,2022/2023,7,LEAVE_2023_OUT,0.0089764891920362522,-0.18696265854447991,-0.19593914773651616,0.19593914773651616,POSITIVE,NEGATIVE,TRUE,240,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,2016/2017,1,LEAVE_2017_OUT,0.091437121470065885,-0.022649436658809502,-0.11408655812887539,0.11408655812887539,POSITIVE,NEGATIVE,TRUE,237,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,2017/2018,2,NONE,0.091437121470065885,0.095585396995164246,0.0041482755250983605,0.0041482755250983605,POSITIVE,POSITIVE,FALSE,242,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,2018/2019,3,NONE,0.091437121470065885,0.059544001308103889,-0.031893120161961996,0.031893120161961996,POSITIVE,POSITIVE,FALSE,242,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,2019/2020,4,NONE,0.091437121470065885,0.17498060126618586,0.083543479796119979,0.083543479796119979,POSITIVE,POSITIVE,FALSE,240,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,2020/2021,5,NONE,0.091437121470065885,0.044956585358722156,-0.046480536111343729,0.046480536111343729,POSITIVE,POSITIVE,FALSE,240,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,2021/2022,6,NONE,0.091437121470065885,-0.013957367126373521,-0.10539448859643941,0.10539448859643941,POSITIVE,NEGATIVE,TRUE,245,6,TRUE,DESCRIPTIVE_ONLY
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,2022/2023,7,LEAVE_2023_OUT,0.091437121470065885,0.55516127942840976,0.46372415795834387,0.46372415795834387,POSITIVE,POSITIVE,FALSE,240,6,TRUE,DESCRIPTIVE_ONLY
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,2016/2017,1,LEAVE_2017_OUT,0.00012564522471647521,-0.00051187869523161567,-0.00063752391994809088,0.00063752391994809088,POSITIVE,NEGATIVE,TRUE,269,6,TRUE,DESCRIPTIVE_ONLY
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,2017/2018,2,NONE,0.00012564522471647521,0.00022998947673208425,0.00010434425201560904,0.00010434425201560904,POSITIVE,POSITIVE,FALSE,272,6,TRUE,DESCRIPTIVE_ONLY
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,2018/2019,3,NONE,0.00012564522471647521,0.00012827663656737875,2.6314118509035422e-06,2.6314118509035422e-06,POSITIVE,POSITIVE,FALSE,279,6,TRUE,DESCRIPTIVE_ONLY
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,2019/2020,4,NONE,0.00012564522471647521,0.00010177831043300944,-2.3866914283465768e-05,2.3866914283465768e-05,POSITIVE,POSITIVE,FALSE,275,6,TRUE,DESCRIPTIVE_ONLY
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,2020/2021,5,NONE,0.00012564522471647521,0.00045548146028051573,0.00032983623556404051,0.00032983623556404051,POSITIVE,POSITIVE,FALSE,274,6,TRUE,DESCRIPTIVE_ONLY
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,2021/2022,6,NONE,0.00012564522471647521,-3.5291864372927195e-05,-0.00016093708908940241,0.00016093708908940241,POSITIVE,NEGATIVE,TRUE,270,6,TRUE,DESCRIPTIVE_ONLY
