CROP,CROP_CODE,MODEL_ID,VARIABLE,PRIMARY_BETA_REFERENCE,MIN_LOO_BETA,MAX_LOO_BETA,BETA_RANGE,MEDIAN_LOO_BETA,POSITIVE_COUNT,NEGATIVE_COUNT,ZERO_COUNT,SIGN_REVERSAL_COUNT,MAX_ABSOLUTE_BETA_DEVIATION,PERIODS_CAUSING_MAX_ABSOLUTE_DEVIATION,LEAVE_2017_OUT_BETA,LEAVE_2023_OUT_BETA,STATUS
RICE,14010020000,ED1-RICE,RAIN_ANOM_MM,0.0011037394218762486,0.00027221776278778075,0.014529736582032604,0.014257518819244823,0.00095178726228384303,7,0,0,0,0.013425997160156355,2022/2023,0.00027221776278778075,0.014529736582032604,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
RICE,14010020000,ED1-RICE,TMAX_ANOM_C,0.0089764891920362522,-0.18696265854447991,0.18429862540551101,0.37126128394999092,0.0069907322386034698,4,3,0,3,0.19593914773651616,2022/2023,0.18429862540551101,-0.18696265854447991,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
RICE,14010020000,ED1-RICE,TMIN_ANOM_C,0.091437121470065885,-0.022649436658809502,0.55516127942840976,0.57781071608721923,0.059544001308103889,5,2,0,2,0.46372415795834387,2022/2023,-0.022649436658809502,0.55516127942840976,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,RAIN_ANOM_MM,0.00012564522471647521,-0.00051187869523161567,0.00045548146028051573,0.00096736015551213139,0.00012474053687694386,5,2,0,2,0.00063752391994809088,2016/2017,-0.00051187869523161567,0.00012474053687694386,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMAX_ANOM_C,0.23699616341331953,0.16168642515090026,0.42905496546271205,0.26736854031181179,0.23449445192183527,7,0,0,0,0.19205880204939252,2016/2017,0.42905496546271205,0.30205441916398479,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,TMIN_ANOM_C,-0.087388917881000228,-0.27900473116499436,0.15890660899637138,0.43791134016136574,-0.045575401108929992,2,5,0,2,0.24629552687737161,2016/2017,0.15890660899637138,0.066139491633534553,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
MANGO,13010210000,ED1-MANGO,RAIN_ANOM_MM,-0.0017475498782406618,-0.020340211960416354,0.0072687968577920259,0.02760900881820838,0.00076471991239301929,5,3,0,5,0.018592662082175693,2018,-0.020055160921021553,-0.002061725788642832,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
MANGO,13010210000,ED1-MANGO,TMAX_ANOM_C,0.55634150583162256,0.30255949388122472,1.4228849662856029,1.1203254724043781,0.57154103243105447,8,0,0,0,0.86654346045398034,2023,0.34953285798288186,1.4228849662856029,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
MANGO,13010210000,ED1-MANGO,TMIN_ANOM_C,0.65834191561220345,-0.23014262312819253,1.5501039145827522,1.7802465377109447,0.82831884029101832,7,1,0,1,0.89176199897054875,2023,0.9544565708459537,1.5501039145827522,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
LIMON_SUTIL,13010170102,ED1-LEMON,RAIN_ANOM_MM__T,-0.0037808833821428856,-0.0052912412262680064,0.00075804437454962681,0.0060492856008176332,-0.0045375384585646938,1,7,0,1,0.0045389277566925124,2023,-0.0029600941700929084,0.00075804437454962681,DESCRIPTIVE_NO_ARBITRARY_PASS_FAIL_THRESHOLD
