REFIT_ORDER,CROP,CROP_CODE,MODEL_ID,PERIOD_ID_COLUMN,OMITTED_PERIOD_ID,MANDATORY_NAMED_CASE,FULL_SAMPLE_N,OMITTED_ROWS,RETAINED_N,FULL_PERIODS,RETAINED_PERIODS,RETAINED_DISTRICTS,OMITTED_PERIOD_ROWS_REMAINING,EXTRA_ROWS_REMOVED,FULL_DESIGN_RANK_VALID,WITHIN_CLIMATE_RANK_VALID,ALL_TARGET_BETAS_FINITE,MODEL_VALID,STATUS,FULL_ORDERED_KEY_SHA256,RETAINED_ORDERED_KEY_SHA256,EXPECTED_RETAINED_KEY_SHA256,DISTRICT_FE,REMAINING_PERIOD_FE,REGRESSORS,FULL_DESIGN_RANK,FULL_DESIGN_COLUMNS,WITHIN_CLIMATE_RANK
1,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2016/2017,LEAVE_2017_OUT,281,44,237,7,6,43,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,01d266a011af198d93470fb68ace409f6842115199cdfa8473583b82e0ee79da,2c65768d87eaee244e8b051035d32728b563796cb31d4d2499b57a81fcd9971c,2c65768d87eaee244e8b051035d32728b563796cb31d4d2499b57a81fcd9971c,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,51,51,3
2,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2017/2018,NONE,281,39,242,7,6,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,01d266a011af198d93470fb68ace409f6842115199cdfa8473583b82e0ee79da,6f58caeabdc6904562c0e7ddabcf1c5ff976a234e27dabc14f8a371cafff0c85,6f58caeabdc6904562c0e7ddabcf1c5ff976a234e27dabc14f8a371cafff0c85,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,52,52,3
3,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2018/2019,NONE,281,39,242,7,6,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,01d266a011af198d93470fb68ace409f6842115199cdfa8473583b82e0ee79da,e36c5fe6bcff4362c691eb3a5a316b2187d74194c9c44904242f52a6eb3c2379,e36c5fe6bcff4362c691eb3a5a316b2187d74194c9c44904242f52a6eb3c2379,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,52,52,3
4,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2019/2020,NONE,281,41,240,7,6,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,01d266a011af198d93470fb68ace409f6842115199cdfa8473583b82e0ee79da,6266fe2e24bb7f73f7aa55936a2a4c311a0bcc38216cd1fc18b1cc617831ee08,6266fe2e24bb7f73f7aa55936a2a4c311a0bcc38216cd1fc18b1cc617831ee08,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,52,52,3
5,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2020/2021,NONE,281,41,240,7,6,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,01d266a011af198d93470fb68ace409f6842115199cdfa8473583b82e0ee79da,e1687ff70a8771f2f6fb8513ee0cf1505c15fdc9ab6d96ba1ffb18ba4373fe4f,e1687ff70a8771f2f6fb8513ee0cf1505c15fdc9ab6d96ba1ffb18ba4373fe4f,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,52,52,3
6,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2021/2022,NONE,281,36,245,7,6,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,01d266a011af198d93470fb68ace409f6842115199cdfa8473583b82e0ee79da,3e003beff729830f018059961863332ce4496dbdec62e2b176448094dc2483c7,3e003beff729830f018059961863332ce4496dbdec62e2b176448094dc2483c7,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,52,52,3
7,RICE,14010020000,ED1-RICE,CAMPAIGN_ID,2022/2023,LEAVE_2023_OUT,281,41,240,7,6,44,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,01d266a011af198d93470fb68ace409f6842115199cdfa8473583b82e0ee79da,52651ccbf956110a3dbfa051520320f37ee86d70195a29217c0cd83a8b97332b,52651ccbf956110a3dbfa051520320f37ee86d70195a29217c0cd83a8b97332b,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,52,52,3
8,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2016/2017,LEAVE_2017_OUT,318,49,269,7,6,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,0421d3e0b3387f3efe549c25722da085454d15ea00ca1ce73fe46e03fd179013,a69cbf6863a18901312538af655e5ae906fd33e6fdacb850b053e1374982fcc6,a69cbf6863a18901312538af655e5ae906fd33e6fdacb850b053e1374982fcc6,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,62,62,3
9,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2017/2018,NONE,318,46,272,7,6,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,0421d3e0b3387f3efe549c25722da085454d15ea00ca1ce73fe46e03fd179013,e2137c81890f20cf4677561f45f95d0f86d4ceb0a65806445037d5553250abd1,e2137c81890f20cf4677561f45f95d0f86d4ceb0a65806445037d5553250abd1,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,62,62,3
10,MAIZ_AMARILLO_DURO,14010070000,ED1-MAD,CAMPAIGN_ID,2018/2019,NONE,318,39,279,7,6,54,0,0,TRUE,TRUE,TRUE,TRUE,PASS_VALID_DESCRIPTIVE_REFIT,0421d3e0b3387f3efe549c25722da085454d15ea00ca1ce73fe46e03fd179013,b3affcae1bf33ff62c0d331c4fbb7cbcede2531b8ebd0a7f63b3e28eb11291ec,b3affcae1bf33ff62c0d331c4fbb7cbcede2531b8ebd0a7f63b3e28eb11291ec,REQUIRED_ACTIVE,REQUIRED_ACTIVE,RAIN_ANOM_MM|TMAX_ANOM_C|TMIN_ANOM_C,62,62,3
