UBIGEO,COD_CULTIVO,CROP_STD,CAMPAIGN_ID,OUTCOME_VALID_FLAG,EXCLUSION_REASON,EXPOSURE_VALID,EXPOSURE_FAILURE_REASON,IDENTIFIED_OBSERVED_WEIGHT_FRACTION,INTERSECTION_STATUS
200101,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,0.50879566982408664,OUTCOME_VALID_EXPOSURE_VALID
200101,14010020000,ARROZ,2017/2018,TRUE,<NA>,TRUE,NONE,0.36858475894245724,OUTCOME_VALID_EXPOSURE_VALID
200101,14010020000,ARROZ,2018/2019,FALSE,ZERO_DENOMINATOR,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_INVALID_EXPOSURE_INVALID
200101,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,0.25,OUTCOME_VALID_EXPOSURE_VALID
200101,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,0.65079365079365081,OUTCOME_VALID_EXPOSURE_VALID
200101,14010020000,ARROZ,2021/2022,TRUE,<NA>,TRUE,NONE,0.10759493670886076,OUTCOME_VALID_EXPOSURE_VALID
200101,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,0.82051282051282048,OUTCOME_VALID_EXPOSURE_VALID
200101,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.69999999999999996,OUTCOME_VALID_EXPOSURE_VALID
200101,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.82352941176470584,OUTCOME_VALID_EXPOSURE_VALID
200101,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.87692307692307692,OUTCOME_VALID_EXPOSURE_VALID
200101,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.20454545454545456,OUTCOME_VALID_EXPOSURE_VALID
200101,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.47674418604651164,OUTCOME_VALID_EXPOSURE_VALID
200101,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.40361445783132532,OUTCOME_VALID_EXPOSURE_VALID
200101,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.53787878787878785,OUTCOME_VALID_EXPOSURE_VALID
200104,14010020000,ARROZ,2016/2017,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,,OUTCOME_INVALID_EXPOSURE_INVALID
200104,14010020000,ARROZ,2017/2018,FALSE,ZERO_DENOMINATOR,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_INVALID_EXPOSURE_INVALID
200104,14010020000,ARROZ,2018/2019,TRUE,<NA>,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_VALID_EXPOSURE_INVALID
200104,14010020000,ARROZ,2019/2020,TRUE,<NA>,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_VALID_EXPOSURE_INVALID
200104,14010020000,ARROZ,2020/2021,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,0,OUTCOME_INVALID_EXPOSURE_INVALID
200104,14010020000,ARROZ,2021/2022,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,,OUTCOME_INVALID_EXPOSURE_INVALID
