EVIDENCE_ID,VARIABLE,CLAIM,CLAIM_CATEGORY,SOURCE_TIER,SOURCE_AUTHORITY,SOURCE_TITLE,SOURCE_DATE,SOURCE_URL,LOCAL_SOURCE_PATH,EXACT_DATASET_LINKAGE,EVIDENCE_FINDING,DECISION_STATUS,DECISION_VALUE,LIMITATION,NOTES
C0A-E001,ANO,ANO equals the year component of MES in raw rows,NUMERICAL_CONCORDANCE,TIER_1,PROJECT_QA_EXACT_SOURCE_AUDIT,raw_agricultural_audit.json,NOT_SPECIFIED,LOCAL_ONLY,outputs/qa/raw_agricultural_audit.json,TRUE,QA reports ano_mes_mismatches equal 0 across exact raw source rows,SUPPORTED_NOT_CERTIFIED,ANO_MATCHES_MES_YEAR_COMPONENT,This is a raw-data concordance check not a documentary temporal definition,Used only for provenance
C0A-E002,ANO,ANO means year in which agricultural campaign occurred,SEMANTICS,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary states ANO is the year in which the agricultural campaign occurred,CERTIFIED_EXACT_SOURCE,YEAR_OF_RECORDED_CAMPAIGN_ACTIVITY,Does not certify campaign start or end labeling,Exact source wording is retained
C0A-E003,ANO,ANO is calendar observation year versus campaign start or end,TEMPORAL,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Exact documentation defines year of campaign activity but not start-year or end-year identity,SUPPORTED_NOT_CERTIFIED,CALENDAR_OBSERVATION_YEAR_COMPONENT_NOT_CERTIFIED_AS_CAMPAIGN_START_OR_END,Campaign identity remains unresolved beyond monthly observation year,Do not reopen frozen Aug-Jul exposure architecture
C0A-E004,COSECHA,COSECHA means harvested area in a determined month,SEMANTICS,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary defines COSECHA as surface of land harvested in a determined month,CERTIFIED_EXACT_SOURCE,HARVESTED_AREA,No ambiguity for semantic meaning,Monthly source variable
C0A-E005,COSECHA,COSECHA is a monthly flow area not a stock,STOCK_FLOW,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Definition ties COSECHA to area harvested in a determined month,CERTIFIED_EXACT_SOURCE,MONTHLY_FLOW_AREA,Annual aggregation may sum flows but C0A builds no outcome,No row exclusion implied
C0A-E006,COSECHA,COSECHA unit is hectares,UNIT,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Dictionary states surface in hectareas has,CERTIFIED_EXACT_SOURCE,ha,No unresolved unit issue for COSECHA,Exact source uses has
C0A-E007,CROSS_VARIABLE,PRODUCCION divided by COSECHA is dimensionally production volume per harvested hectare,DIMENSIONALITY,TIER_1,GORE_PIURA_DRA,Formato_DiccionarioDatos_productos_dra_.xlsx,2025-05-27,https://www.datosabiertos.gob.pe/dataset/campa%C3%B1a-agr%C3%ADcola-de-los-principales-cultivos-de-la-regi%C3%B3n-piura-gobierno-regional-piura-grp,data/raw/Formato_DiccionarioDatos_productos_dra_.xlsx,TRUE,Exact dictionary defines production volume and harvested area in hectares,SUPPORTED_NOT_CERTIFIED,PHYSICAL_YIELD_DIMENSION_VOLUME_PER_HA,Production unit required C0A.1 institutional convergence,Project inference from exact definitions
C0A-E008,CROSS_VARIABLE,Metric tonne production and soles per kg price require kg per tonne conversion for future monetary translation,DIMENSIONALITY,TIER_2,GORE_PIURA_DRAP_OFICINA_ESTADISTICA,DRAP institutional convergence synthesis for monetary translation,2026-01-23,https://www.gob.pe/institucion/regionpiura-dra/noticias/1334442-piura-consolida-liderazgo-en-la-produccion-de-limon-sutil-con-mas-de-203-mil-toneladas-y-exportaciones-a-seis-paises,WEB_OFFICIAL_DRAP,PARTIAL,DRAP lemon note combines production in tonnes and farm-gate price S per kg while exact dictionary certifies PRECIO_CHACRA as S per kg,CERTIFIED_INSTITUTIONAL_CONVERGENCE,DIMENSIONALLY_AUTHORIZED_NOT_BUILT,No GVP is calculated or authorized in C0A.1,Future translation requires 1 metric tonne equals 1000 kg
C0A-E009,CROSS_VARIABLE,Annual yield and price arithmetic identities reproduce frozen QA checks,NUMERICAL_CONCORDANCE,TIER_1,PROJECT_QA_EXACT_SOURCE_AUDIT,independent_yield_price_checks.csv,NOT_SPECIFIED,LOCAL_ONLY,outputs/qa/independent_yield_price_checks.csv,TRUE,QA sample checks pass for production over harvest area and production-weighted price,CERTIFIED_EXACT_SOURCE,ARITHMETIC_CONCORDANCE_PASS_20_OF_20,Sample QA does not certify physical production unit,No climate or model evidence used
C0A-E010,CROSS_VARIABLE,No exact official numerical production concordance lies inside raw coverage without period mismatch,NUMERICAL_CONCORDANCE,TIER_2,GORE_PIURA_DRAP_OFICINA_ESTADISTICA,DRAP 2025 and campaign 2024-2025 publications,2026-03-20,https://www.gob.pe/institucion/regionpiura-dra/noticias/1368573-piura-supera-las-534-mil-toneladas-de-arroz-en-la-campana-agricola-2024-2025,WEB_OFFICIAL_DRAP,PARTIAL,Discovered DRAP production statistics are 2025 calendar or 2024-2025 campaign while raw source ends 2024-12,SUPPORTED_NOT_CERTIFIED,NO_EXACT_NUMERICAL_CONCORDANCE_AVAILABLE,Do not mix calendar totals with campaign totals or partial raw coverage,All eligible exact comparisons discovered were zero
