UBIGEO,COD_CULTIVO,CROP_STD,OUTCOME_YEAR,DIAGNOSTIC_LAG_MONTHS,HARVEST_DENOMINATOR,HARVEST_SUPPORT_STATUS,UNSUPPORTED_HARVEST_SHARE,POTENTIAL_LEFT_TRUNCATION,UNSUPPORTED_PREDECESSOR_MONTHS,DECISION_STATUS,IMPUTATION_USED
200101,14010020000,ARROZ,2016,1,761.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,2,761.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,3,761.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,4,761.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,5,761.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,6,761.0,POSITIVE,0.37582128777923784,True,201507,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,7,761.0,POSITIVE,0.37582128777923784,True,201506;201507,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,8,761.0,POSITIVE,0.37582128777923784,True,201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,9,761.0,POSITIVE,0.37582128777923784,True,201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,10,761.0,POSITIVE,0.37582128777923784,True,201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,11,761.0,POSITIVE,0.8488830486202366,True,201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200101,14010020000,ARROZ,2016,12,761.0,POSITIVE,0.8488830486202366,True,201501;201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,1,3551.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,2,3551.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,3,3551.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,4,3551.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,5,3551.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,6,3551.0,POSITIVE,0.20529428330047875,True,201507,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,7,3551.0,POSITIVE,0.20529428330047875,True,201506;201507,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,8,3551.0,POSITIVE,0.20529428330047875,True,201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,9,3551.0,POSITIVE,0.20529428330047875,True,201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,10,3551.0,POSITIVE,0.27851309490284426,True,201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,11,3551.0,POSITIVE,0.973246972683751,True,201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200105,14010020000,ARROZ,2016,12,3551.0,POSITIVE,0.973246972683751,True,201501;201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,1,1440.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,2,1440.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,3,1440.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,4,1440.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,5,1440.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,6,1440.0,POSITIVE,0.24930555555555556,True,201507,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,7,1440.0,POSITIVE,0.24930555555555556,True,201506;201507,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,8,1440.0,POSITIVE,0.24930555555555556,True,201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,9,1440.0,POSITIVE,0.24930555555555556,True,201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,10,1440.0,POSITIVE,0.24930555555555556,True,201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,11,1440.0,POSITIVE,1.0,True,201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200107,14010020000,ARROZ,2016,12,1440.0,POSITIVE,1.0,True,201501;201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,1,1657.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,2,1657.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,3,1657.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,4,1657.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,5,1657.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,6,1657.0,POSITIVE,0.2112251056125528,True,201507,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,7,1657.0,POSITIVE,0.2112251056125528,True,201506;201507,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,8,1657.0,POSITIVE,0.2112251056125528,True,201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,9,1657.0,POSITIVE,0.2112251056125528,True,201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,10,1657.0,POSITIVE,0.2112251056125528,True,201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,11,1657.0,POSITIVE,0.7543753771876885,True,201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200108,14010020000,ARROZ,2016,12,1657.0,POSITIVE,0.975859987929994,True,201501;201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,1,5015.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,2,5015.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,3,5015.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,4,5015.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,5,5015.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,6,5015.0,POSITIVE,0.21635094715852443,True,201507,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,7,5015.0,POSITIVE,0.21635094715852443,True,201506;201507,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,8,5015.0,POSITIVE,0.21635094715852443,True,201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,9,5015.0,POSITIVE,0.21635094715852443,True,201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,10,5015.0,POSITIVE,0.21635094715852443,True,201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,11,5015.0,POSITIVE,0.93419740777667,True,201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200109,14010020000,ARROZ,2016,12,5015.0,POSITIVE,0.9688933200398804,True,201501;201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,1,3907.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,2,3907.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,3,3907.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,4,3907.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,5,3907.0,POSITIVE,0.0,False,,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,6,3907.0,POSITIVE,0.15740977732275402,True,201507,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,7,3907.0,POSITIVE,0.15740977732275402,True,201506;201507,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,8,3907.0,POSITIVE,0.15740977732275402,True,201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,9,3907.0,POSITIVE,0.15740977732275402,True,201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,10,3907.0,POSITIVE,0.15740977732275402,True,201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,11,3907.0,POSITIVE,0.9252623496288712,True,201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200110,14010020000,ARROZ,2016,12,3907.0,POSITIVE,0.9534169439467621,True,201501;201502;201503;201504;201505;201506;201507,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,1,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,2,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,3,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,4,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,5,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,6,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,7,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,8,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,9,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,10,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,11,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200111,14010020000,ARROZ,2016,12,3640.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
200114,14010020000,ARROZ,2016,1,6270.0,PARTIAL_MISSING,,False,,PENDING_EVIDENCE_FREEZE,False
