AUDIT_TYPE,UBIGEO,COD_CULTIVO,CROP_STD,ANO,TEMPORAL_ROLE,DIAGNOSTIC_LAG_MONTHS,HARVEST_DENOMINATOR,HARVEST_SUPPORT_STATUS,PRIOR_YEAR_PREDECESSOR_HARVEST_SHARE,PRIOR_YEAR_PREDECESSOR_MONTHS_REQUIRED,PRIOR_YEAR_PREDECESSOR_MONTHS_OBSERVED,SUPPORT_STATUS,ATTRIBUTION_STATUS,DESCRIPTIVE_ONLY,JAN_MAR_HARVEST_SHARE,PRODUCTION_DENOMINATOR,PRODUCTION_SUPPORT_STATUS,JAN_MAR_PRODUCTION_SHARE
PERMANENT_EARLY_YEAR_ACTIVITY,200101,13010170102,LIMON SUTIL,2016,MAIN_TEMPORAL_STRUCTURE,,635.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,10010.0,POSITIVE,0.18311688311688312
PERMANENT_EARLY_YEAR_ACTIVITY,200101,13010170102,LIMON SUTIL,2017,MAIN_TEMPORAL_STRUCTURE,,649.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,7999.0,POSITIVE,0.4088011001375172
PERMANENT_EARLY_YEAR_ACTIVITY,200101,13010170102,LIMON SUTIL,2018,MAIN_TEMPORAL_STRUCTURE,,564.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,6809.0,POSITIVE,0.17447495961227788
PERMANENT_EARLY_YEAR_ACTIVITY,200101,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,564.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,11037.0,POSITIVE,0.22297725831294737
PERMANENT_EARLY_YEAR_ACTIVITY,200101,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,776.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,12618.0,POSITIVE,0.20613409415121256
PERMANENT_EARLY_YEAR_ACTIVITY,200101,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,,564.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,15736.0,POSITIVE,0.2661413319776309
PERMANENT_EARLY_YEAR_ACTIVITY,200101,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,,564.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,6255.0,POSITIVE,0.000639488409272582
PERMANENT_EARLY_YEAR_ACTIVITY,200101,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,,1024.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,7700.0,POSITIVE,0.2979220779220779
PERMANENT_EARLY_YEAR_ACTIVITY,200104,13010170102,LIMON SUTIL,2016,MAIN_TEMPORAL_STRUCTURE,,1.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,14.0,POSITIVE,0.21428571428571427
PERMANENT_EARLY_YEAR_ACTIVITY,200104,13010170102,LIMON SUTIL,2017,MAIN_TEMPORAL_STRUCTURE,,1.0,PARTIAL_MISSING,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,,9.0,PARTIAL_MISSING,
PERMANENT_EARLY_YEAR_ACTIVITY,200104,13010170102,LIMON SUTIL,2018,MAIN_TEMPORAL_STRUCTURE,,0.0,PARTIAL_MISSING,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,,0.0,PARTIAL_MISSING,
PERMANENT_EARLY_YEAR_ACTIVITY,200104,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,121.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,208.0,POSITIVE,0.21634615384615385
PERMANENT_EARLY_YEAR_ACTIVITY,200104,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,121.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,359.0,POSITIVE,0.1615598885793872
PERMANENT_EARLY_YEAR_ACTIVITY,200104,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,,121.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,632.0,POSITIVE,0.15031645569620253
PERMANENT_EARLY_YEAR_ACTIVITY,200104,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,,124.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,1206.0,POSITIVE,0.26451077943615253
PERMANENT_EARLY_YEAR_ACTIVITY,200104,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,,132.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,1071.0,POSITIVE,0.3958916900093371
PERMANENT_EARLY_YEAR_ACTIVITY,200105,13010170102,LIMON SUTIL,2016,MAIN_TEMPORAL_STRUCTURE,,1.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,14.0,POSITIVE,0.21428571428571427
PERMANENT_EARLY_YEAR_ACTIVITY,200105,13010170102,LIMON SUTIL,2017,MAIN_TEMPORAL_STRUCTURE,,1.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,15.0,POSITIVE,0.33333333333333337
PERMANENT_EARLY_YEAR_ACTIVITY,200105,13010170102,LIMON SUTIL,2018,MAIN_TEMPORAL_STRUCTURE,,1.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,12.0,POSITIVE,0.25
PERMANENT_EARLY_YEAR_ACTIVITY,200105,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,5.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,11.0,POSITIVE,0.2727272727272727
PERMANENT_EARLY_YEAR_ACTIVITY,200105,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,5.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,19.0,POSITIVE,0.21052631578947367
PERMANENT_EARLY_YEAR_ACTIVITY,200105,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,,5.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,23.0,POSITIVE,0.2608695652173913
PERMANENT_EARLY_YEAR_ACTIVITY,200105,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,,5.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,55.0,POSITIVE,0.10909090909090909
PERMANENT_EARLY_YEAR_ACTIVITY,200105,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,,5.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,43.0,POSITIVE,0.3488372093023256
PERMANENT_EARLY_YEAR_ACTIVITY,200107,13010170102,LIMON SUTIL,2016,MAIN_TEMPORAL_STRUCTURE,,42.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,649.0,POSITIVE,0.16640986132511554
PERMANENT_EARLY_YEAR_ACTIVITY,200107,13010170102,LIMON SUTIL,2017,MAIN_TEMPORAL_STRUCTURE,,34.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,476.0,POSITIVE,0.4327731092436975
PERMANENT_EARLY_YEAR_ACTIVITY,200107,13010170102,LIMON SUTIL,2018,MAIN_TEMPORAL_STRUCTURE,,34.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,403.0,POSITIVE,0.13647642679900746
PERMANENT_EARLY_YEAR_ACTIVITY,200107,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,34.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,645.0,POSITIVE,0.20930232558139533
PERMANENT_EARLY_YEAR_ACTIVITY,200107,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,34.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,676.0,POSITIVE,0.21745562130177515
PERMANENT_EARLY_YEAR_ACTIVITY,200107,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,,34.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,747.0,POSITIVE,0.27710843373493976
PERMANENT_EARLY_YEAR_ACTIVITY,200107,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,,68.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,811.0,POSITIVE,0.2638717632552404
PERMANENT_EARLY_YEAR_ACTIVITY,200107,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,,81.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,680.0,POSITIVE,0.32941176470588235
PERMANENT_EARLY_YEAR_ACTIVITY,200108,13010170102,LIMON SUTIL,2016,MAIN_TEMPORAL_STRUCTURE,,2.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,11.0,POSITIVE,0.0
PERMANENT_EARLY_YEAR_ACTIVITY,200108,13010170102,LIMON SUTIL,2017,MAIN_TEMPORAL_STRUCTURE,,2.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,20.0,POSITIVE,0.4
PERMANENT_EARLY_YEAR_ACTIVITY,200108,13010170102,LIMON SUTIL,2018,MAIN_TEMPORAL_STRUCTURE,,2.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,17.0,POSITIVE,0.1764705882352941
PERMANENT_EARLY_YEAR_ACTIVITY,200108,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,4.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,45.0,POSITIVE,0.2222222222222222
PERMANENT_EARLY_YEAR_ACTIVITY,200108,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,4.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,67.0,POSITIVE,0.208955223880597
PERMANENT_EARLY_YEAR_ACTIVITY,200108,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,,4.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,91.0,POSITIVE,0.2417582417582418
PERMANENT_EARLY_YEAR_ACTIVITY,200108,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,,4.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,59.0,POSITIVE,0.2711864406779661
PERMANENT_EARLY_YEAR_ACTIVITY,200108,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,,4.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,51.0,POSITIVE,0.43137254901960786
PERMANENT_EARLY_YEAR_ACTIVITY,200109,13010170102,LIMON SUTIL,2016,MAIN_TEMPORAL_STRUCTURE,,3.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,44.0,POSITIVE,0.1590909090909091
PERMANENT_EARLY_YEAR_ACTIVITY,200109,13010170102,LIMON SUTIL,2017,MAIN_TEMPORAL_STRUCTURE,,3.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,45.0,POSITIVE,0.3333333333333333
PERMANENT_EARLY_YEAR_ACTIVITY,200109,13010170102,LIMON SUTIL,2018,MAIN_TEMPORAL_STRUCTURE,,3.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,26.0,POSITIVE,0.23076923076923078
PERMANENT_EARLY_YEAR_ACTIVITY,200109,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,3.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,37.0,POSITIVE,0.24324324324324326
PERMANENT_EARLY_YEAR_ACTIVITY,200109,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,3.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,40.0,POSITIVE,0.2
PERMANENT_EARLY_YEAR_ACTIVITY,200109,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,,3.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,62.0,POSITIVE,0.25806451612903225
PERMANENT_EARLY_YEAR_ACTIVITY,200109,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,,3.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,47.0,POSITIVE,0.42553191489361697
PERMANENT_EARLY_YEAR_ACTIVITY,200109,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,,2.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,19.0,POSITIVE,0.2631578947368421
PERMANENT_EARLY_YEAR_ACTIVITY,200110,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,2.0,PARTIAL_MISSING,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,,2.0,PARTIAL_MISSING,
PERMANENT_EARLY_YEAR_ACTIVITY,200110,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,2.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,13.0,POSITIVE,0.15384615384615385
PERMANENT_EARLY_YEAR_ACTIVITY,200110,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,,2.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,16.0,POSITIVE,0.375
PERMANENT_EARLY_YEAR_ACTIVITY,200110,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,,2.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,23.0,POSITIVE,0.17391304347826086
PERMANENT_EARLY_YEAR_ACTIVITY,200110,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,,2.0,PARTIAL_MISSING,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,,2.0,PARTIAL_MISSING,
PERMANENT_EARLY_YEAR_ACTIVITY,200111,13010170102,LIMON SUTIL,2016,MAIN_TEMPORAL_STRUCTURE,,141.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,733.0,POSITIVE,0.286493860845839
PERMANENT_EARLY_YEAR_ACTIVITY,200111,13010170102,LIMON SUTIL,2017,MAIN_TEMPORAL_STRUCTURE,,141.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,264.0,POSITIVE,0.30303030303030304
PERMANENT_EARLY_YEAR_ACTIVITY,200111,13010170102,LIMON SUTIL,2018,MAIN_TEMPORAL_STRUCTURE,,141.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,582.0,POSITIVE,0.48109965635738833
PERMANENT_EARLY_YEAR_ACTIVITY,200111,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,141.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,1353.0,POSITIVE,0.2535107169253511
PERMANENT_EARLY_YEAR_ACTIVITY,200111,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,141.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,2330.0,POSITIVE,0.18583690987124463
PERMANENT_EARLY_YEAR_ACTIVITY,200111,13010170102,LIMON SUTIL,2021,MAIN_TEMPORAL_STRUCTURE,,141.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,1208.0,POSITIVE,0.25248344370860926
PERMANENT_EARLY_YEAR_ACTIVITY,200111,13010170102,LIMON SUTIL,2022,MAIN_TEMPORAL_STRUCTURE,,141.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,1510.0,POSITIVE,0.3880794701986755
PERMANENT_EARLY_YEAR_ACTIVITY,200111,13010170102,LIMON SUTIL,2023,MAIN_TEMPORAL_STRUCTURE,,141.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,1139.0,POSITIVE,0.42581211589113255
PERMANENT_EARLY_YEAR_ACTIVITY,200114,13010170102,LIMON SUTIL,2016,MAIN_TEMPORAL_STRUCTURE,,5146.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,68940.0,POSITIVE,0.33492892370176963
PERMANENT_EARLY_YEAR_ACTIVITY,200114,13010170102,LIMON SUTIL,2017,MAIN_TEMPORAL_STRUCTURE,,9738.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,18990.0,POSITIVE,0.2575039494470774
PERMANENT_EARLY_YEAR_ACTIVITY,200114,13010170102,LIMON SUTIL,2018,MAIN_TEMPORAL_STRUCTURE,,9738.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,50650.0,POSITIVE,0.46140177690029616
PERMANENT_EARLY_YEAR_ACTIVITY,200114,13010170102,LIMON SUTIL,2019,MAIN_TEMPORAL_STRUCTURE,,9738.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,75656.0,POSITIVE,0.36361954108068095
PERMANENT_EARLY_YEAR_ACTIVITY,200114,13010170102,LIMON SUTIL,2020,MAIN_TEMPORAL_STRUCTURE,,9738.0,POSITIVE,,,,,NOT_IDENTIFIABLE_FROM_AGGREGATED_DATA,True,0.0,83801.0,POSITIVE,0.2554862113817258
