UBIGEO,MONTH,RAIN_ANOM_MEAN,TMAX_ANOM_MEAN,TMIN_ANOM_MEAN,PASS
200101,1,2.3684757858670006e-16,-1.8947806286936005e-15,-1.6579330501069005e-15,True
200101,2,3.079018521627101e-15,4.736951571734001e-16,1.0658141036401502e-15,True
200101,3,5.210646728907401e-15,-4.736951571734001e-16,-8.289665250534502e-16,True
200101,4,-2.6645352591003756e-16,0.0,-4.736951571734001e-16,True
200101,5,-2.2204460492503132e-17,1.8947806286936005e-15,-2.960594732333751e-15,True
200101,6,1.850371707708594e-17,-3.552713678800501e-16,3.434289889507151e-15,True
200101,7,-7.401486830834377e-18,1.1842378929335003e-16,1.3026616822268502e-15,True
200101,8,1.8503717077085942e-18,9.473903143468002e-16,-2.3684757858670006e-16,True
200101,9,-4.070817756958907e-17,0.0,0.0,True
200101,10,1.1842378929335003e-16,-1.3026616822268502e-15,-1.7763568394002505e-15,True
200101,11,-1.924386576016938e-16,2.1316282072803005e-15,-1.4210854715202005e-15,True
200101,12,-1.1842378929335003e-16,3.434289889507151e-15,-2.3684757858670005e-15,True
200104,1,4.736951571734001e-15,-1.3026616822268502e-15,-1.1842378929335003e-16,True
200104,2,0.0,-1.8947806286936005e-15,5.921189464667501e-16,True
200104,3,-2.842170943040401e-15,1.1842378929335003e-16,-1.1842378929335002e-15,True
200104,4,-1.0066022089934752e-15,9.473903143468002e-16,0.0,True
200104,5,-1.1842378929335003e-16,-2.3684757858670006e-16,-7.105427357601002e-16,True
200104,6,3.7007434154171884e-18,-8.289665250534502e-16,-1.6579330501069005e-15,True
200104,7,-1.2027416100105863e-17,-4.736951571734001e-16,-2.4276876805136757e-15,True
200104,8,2.960594732333751e-17,2.723747153747051e-15,-1.0066022089934752e-15,True
200104,9,9.62193288008469e-17,-2.3684757858670006e-16,-1.7763568394002505e-15,True
200104,10,-2.6645352591003756e-16,9.473903143468002e-16,-1.6579330501069005e-15,True
200104,11,7.771561172376095e-17,-1.4210854715202005e-15,1.6579330501069005e-15,True
200104,12,-2.0724163126336256e-16,1.5395092608135505e-15,-1.8947806286936005e-15,True
200105,1,5.921189464667501e-17,4.736951571734001e-16,2.6053233644537005e-15,True
200105,2,4.736951571734001e-15,8.289665250534502e-16,-5.921189464667501e-16,True
200105,3,-4.736951571734001e-16,8.289665250534502e-16,1.1842378929335003e-16,True
200105,4,7.105427357601002e-16,-2.6053233644537005e-15,-2.0132044179869505e-15,True
200105,5,-7.401486830834377e-17,1.4210854715202005e-15,2.3684757858670005e-15,True
200105,6,1.295260195396016e-17,1.1842378929335003e-16,-8.289665250534502e-16,True
200105,7,1.8503717077085942e-18,2.4868995751603505e-15,8.881784197001252e-16,True
200105,8,-1.4802973661668754e-17,-1.0658141036401502e-15,1.3026616822268502e-15,True
200105,9,2.960594732333751e-17,1.7763568394002505e-15,4.144832625267251e-16,True
200105,10,-3.4046839421838136e-16,1.3026616822268502e-15,5.329070518200751e-16,True
200105,11,1.1842378929335003e-16,-2.842170943040401e-15,1.4210854715202005e-15,True
200105,12,0.0,8.289665250534502e-16,1.1842378929335002e-15,True
200107,1,5.921189464667501e-16,2.842170943040401e-15,2.3684757858670005e-15,True
200107,2,7.105427357601002e-16,-1.1842378929335002e-15,1.1842378929335002e-15,True
200107,3,-3.315866100213801e-15,-1.6579330501069005e-15,1.5395092608135505e-15,True
200107,4,-7.105427357601002e-16,-1.6579330501069005e-15,-1.4210854715202005e-15,True
200107,5,1.0362081563168128e-16,1.6579330501069005e-15,-1.1842378929335003e-16,True
200107,6,3.7007434154171884e-18,2.3684757858670006e-16,-1.1842378929335002e-15,True
200107,7,-8.326672684688674e-18,-2.3684757858670005e-15,-3.079018521627101e-15,True
200107,8,2.960594732333751e-17,-2.1316282072803005e-15,-1.1842378929335003e-16,True
200107,9,-9.251858538542972e-17,8.289665250534502e-16,2.3684757858670006e-16,True
200107,10,-1.0362081563168128e-16,2.6053233644537005e-15,9.473903143468002e-16,True
200107,11,-3.3306690738754695e-17,-1.8947806286936005e-15,5.921189464667501e-16,True
200107,12,3.552713678800501e-16,-2.2500519965736505e-15,2.842170943040401e-15,True
200108,1,2.0132044179869505e-15,-8.289665250534502e-16,-2.3684757858670006e-16,True
200108,2,7.105427357601002e-16,1.4210854715202005e-15,1.8947806286936005e-15,True
200108,3,-4.736951571734001e-16,-4.263256414560601e-15,2.3684757858670006e-16,True
200108,4,-8.881784197001252e-16,-1.6579330501069005e-15,2.0132044179869505e-15,True
200108,5,-1.1842378929335003e-16,1.8947806286936005e-15,-9.473903143468002e-16,True
