UBIGEO,GORE_PROVINCIA,GORE_DISTRITO,BOUNDARY_PROVINCIA,BOUNDARY_DISTRITO,NAME_MATCH_NORMALIZED,REVIEW_NOTE
200101,PIURA,PIURA,PIURA,PIURA,True,MATCH
200104,PIURA,CASTILLA,PIURA,CASTILLA,True,MATCH
200105,PIURA,CATACAOS,PIURA,CATACAOS,True,MATCH
200107,PIURA,CURA MORI,PIURA,CURA MORI,True,MATCH
200108,PIURA,EL TALLAN,PIURA,EL TALLAN,True,MATCH
200109,PIURA,LA ARENA,PIURA,LA ARENA,True,MATCH
200110,PIURA,LA UNION,PIURA,LA UNION,True,MATCH
200111,PIURA,LAS LOMAS,PIURA,LAS LOMAS,True,MATCH
200114,PIURA,TAMBO GRANDE,PIURA,TAMBO GRANDE,True,MATCH
200201,AYABACA,AYABACA,AYABACA,AYABACA,True,MATCH
200202,AYABACA,FRIAS,AYABACA,FRIAS,True,MATCH
200203,AYABACA,JILILI,AYABACA,JILILI,True,MATCH
200204,AYABACA,LAGUNAS,AYABACA,LAGUNAS,True,MATCH
200205,AYABACA,MONTERO,AYABACA,MONTERO,True,MATCH
200206,AYABACA,PACAIPAMPA,AYABACA,PACAIPAMPA,True,MATCH
200207,AYABACA,PAIMAS,AYABACA,PAIMAS,True,MATCH
200208,AYABACA,SAPILLICA,AYABACA,SAPILLICA,True,MATCH
200209,AYABACA,SICCHEZ,AYABACA,SICCHEZ,True,MATCH
200210,AYABACA,SUYO,AYABACA,SUYO,True,MATCH
200301,HUANCABAMBA,HUANCABAMBA,HUANCABAMBA,HUANCABAMBA,True,MATCH
200302,HUANCABAMBA,CANCHAQUE,HUANCABAMBA,CANCHAQUE,True,MATCH
200303,HUANCABAMBA,EL CARMEN DE LA FRONTERA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,True,MATCH
200304,HUANCABAMBA,HUARMACA,HUANCABAMBA,HUARMACA,True,MATCH
200305,HUANCABAMBA,LALAQUIZ,HUANCABAMBA,LALAQUIZ,True,MATCH
200306,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,True,MATCH
200307,HUANCABAMBA,SONDOR,HUANCABAMBA,SONDOR,True,MATCH
200308,HUANCABAMBA,SONDORILLO,HUANCABAMBA,SONDORILLO,True,MATCH
200401,MORROPON,CHULUCANAS,MORROPON,CHULUCANAS,True,MATCH
200402,MORROPON,BUENOS AIRES,MORROPON,BUENOS AIRES,True,MATCH
200403,MORROPON,CHALACO,MORROPON,CHALACO,True,MATCH
200404,MORROPON,LA MATANZA,MORROPON,LA MATANZA,True,MATCH
200405,MORROPON,MORROPON,MORROPON,MORROPON,True,MATCH
200406,MORROPON,SALITRAL,MORROPON,SALITRAL,True,MATCH
200407,MORROPON,SAN JUAN DE BIGOTE,MORROPON,SAN JUAN DE BIGOTE,True,MATCH
200408,MORROPON,SANTA CATALINA DE MOSSA,MORROPON,SANTA CATALINA DE MOSSA,True,MATCH
200409,MORROPON,SANTO DOMINGO,MORROPON,SANTO DOMINGO,True,MATCH
200410,MORROPON,YAMANGO,MORROPON,YAMANGO,True,MATCH
200502,PAITA,AMOTAPE,PAITA,AMOTAPE,True,MATCH
200503,PAITA,ARENAL,PAITA,ARENAL,True,MATCH
200504,PAITA,COLAN,PAITA,COLAN,True,MATCH
200505,PAITA,LA HUACA,PAITA,LA HUACA,True,MATCH
200506,PAITA,TAMARINDO,PAITA,TAMARINDO,True,MATCH
200507,PAITA,VICHAYAL,PAITA,VICHAYAL,True,MATCH
200601,SULLANA,SULLANA,SULLANA,SULLANA,True,MATCH
200603,SULLANA,IGNACIO ESCUDERO,SULLANA,IGNACIO ESCUDERO,True,MATCH
200605,SULLANA,MARCAVELICA,SULLANA,MARCAVELICA,True,MATCH
200606,SULLANA,MIGUEL CHECA,SULLANA,MIGUEL CHECA,True,MATCH
200607,SULLANA,QUERECOTILLO,SULLANA,QUERECOTILLO,True,MATCH
200608,SULLANA,SALITRAL,SULLANA,SALITRAL,True,MATCH
200801,SECHURA,SECHURA,SECHURA,SECHURA,True,MATCH
200802,SECHURA,BELLAVISTA DE LA UNION,SECHURA,BELLAVISTA DE LA UNION,True,MATCH
200803,SECHURA,BERNAL,SECHURA,BERNAL,True,MATCH
200804,SECHURA,CRISTO NOS VALGA,SECHURA,CRISTO NOS VALGA,True,MATCH
200805,SECHURA,VICE,SECHURA,VICE,True,MATCH
200806,SECHURA,RINCONADA LLICUAR,SECHURA,RINCONADA LLICUAR,True,MATCH
