priority,institution,service,endpoint,attempt_number,timestamp_utc,http_method,http_status,elapsed_seconds,response_bytes,result,error_class,notes
A0,IDEP,Preserved CLIMATE MASTER v1 boundary access attempt,https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/FeatureServer/5?f=pjson,1,2026-08-12T05:20:42Z,GET,ERROR,,0,FAIL,,Preserved v1 timeout/access evidence from archived boundary_access_audit.json.
A0,IDEP,Preserved CLIMATE MASTER v1 boundary access attempt,"https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/FeatureServer/5/query?f=geojson&where=NOMBDEP%3D%27PIURA%27&outFields=UBIGEO,NOMBDEP,NOMBPROV,NOMBDIST,FUENTE&returnGeometry=true&outSR=4326",2,2026-08-12T05:20:42Z,GET,ERROR,,0,FAIL,,Preserved v1 timeout/access evidence from archived boundary_access_audit.json.
A0,IDEP,Preserved CLIMATE MASTER v1 boundary access attempt,https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/MapServer/5?f=pjson,3,2026-08-12T05:20:42Z,GET,ERROR,,0,FAIL,,Preserved v1 timeout/access evidence from archived boundary_access_audit.json.
A1.1,IDEP,FeatureServer/5 filtered GeoJSON,https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/FeatureServer/5/query,1,2026-08-12T05:51:26Z,GET,ERROR,21.152,0,FAIL,ConnectTimeout,"Live v1.1 check; v1 timeout evidence is preserved in history. ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='www.idep.gob.pe', port=443): Max retries exceeded with url: /geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/FeatureServer/5/query?f=geojson&where=NOMBDEP%3D%27PIURA%27&outFields=UBIGEO%2CNOMBDEP%2CNOMBPROV%2CNOMBDIST%2CFUENTE&returnGeometry=true&outSR=4326 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.idep.gob.pe', port=443) at 0x2111f195950>, 'Connection to www.idep.gob.pe timed out. (connect timeout=30)'))""))"
A1.2,IDEP,FeatureServer/5 filtered GeoJSON POST,https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/FeatureServer/5/query,1,2026-08-12T05:51:47Z,POST,ERROR,21.248,0,FAIL,ConnectTimeout,"POST strategy tested after GET timeout. ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='www.idep.gob.pe', port=443): Max retries exceeded with url: /geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/FeatureServer/5/query (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.idep.gob.pe', port=443) at 0x2111f1b5050>, 'Connection to www.idep.gob.pe timed out. (connect timeout=30)'))""))"
A1.3,IDEP,FeatureServer/5 returnIdsOnly,https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/FeatureServer/5/query,1,2026-08-12T05:52:09Z,GET,ERROR,21.258,0,FAIL,ConnectTimeout,"ID-first batching precondition tested; no object IDs were available. ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='www.idep.gob.pe', port=443): Max retries exceeded with url: /geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/FeatureServer/5/query?f=json&where=NOMBDEP%3D%27PIURA%27&returnIdsOnly=true (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.idep.gob.pe', port=443) at 0x2111f1b4810>, 'Connection to www.idep.gob.pe timed out. (connect timeout=30)'))""))"
A2.1,IDEP,MapServer/5 filtered GeoJSON,https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/MapServer/5/query,1,2026-08-12T05:52:30Z,GET,ERROR,21.360,0,FAIL,ConnectTimeout,"Official MapServer mirror tested. ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='www.idep.gob.pe', port=443): Max retries exceeded with url: /geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/MapServer/5/query?f=geojson&where=NOMBDEP%3D%27PIURA%27&outFields=UBIGEO%2CNOMBDEP%2CNOMBPROV%2CNOMBDIST%2CFUENTE&returnGeometry=true&outSR=4326 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.idep.gob.pe', port=443) at 0x2111f1b73d0>, 'Connection to www.idep.gob.pe timed out. (connect timeout=30)'))""))"
A2.2,IDEP,MapServer/5 returnIdsOnly,https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/MapServer/5/query,1,2026-08-12T05:52:51Z,GET,ERROR,21.185,0,FAIL,ConnectTimeout,"MapServer ID-first batching precondition tested. ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='www.idep.gob.pe', port=443): Max retries exceeded with url: /geoportal/rest/services/DATOS_GEOESPACIALES/L%C3%8DMITES/MapServer/5/query?f=json&where=NOMBDEP%3D%27PIURA%27&returnIdsOnly=true (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.idep.gob.pe', port=443) at 0x2111f162650>, 'Connection to www.idep.gob.pe timed out. (connect timeout=30)'))""))"
A3,IDEP,LIMITESTT MapServer/3 metadata,https://www.idep.gob.pe/geoportal/rest/services/DATOS_GEOESPACIALES/LIMITESTT/MapServer/3,1,2026-08-12T05:53:12Z,GET,ERROR,21.181,0,FAIL,ConnectTimeout,"Alternate official IDEP district layer metadata tested. ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='www.idep.gob.pe', port=443): Max retries exceeded with url: /geoportal/rest/services/DATOS_GEOESPACIALES/LIMITESTT/MapServer/3?f=pjson (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.idep.gob.pe', port=443) at 0x2111f1c1850>, 'Connection to www.idep.gob.pe timed out. (connect timeout=30)'))""))"
B.1,INEI,SDMR catalog,https://sdmr.inei.gob.pe/layers/geonode%3Adistrito,1,2026-08-12T05:53:34Z,HEAD,200,22.137,0,SUCCESS,,text/html; charset=utf-8
B.2,INEI,SDMR GeoJSON,https://sdmr.inei.gob.pe/layers/download/geonode%3Adistrito/GeoJSON,1,2026-08-12T05:53:56Z,HEAD,500,0.157,0,FAIL,,text/html
B.3,INEI,SDMR Shapefile ZIP,https://sdmr.inei.gob.pe/layers/download/geonode%3Adistrito/ESRI%20Shapefile,1,2026-08-12T05:53:56Z,HEAD,200,22.259,0,SUCCESS,,application/x-zip-compressed
C.1,INEI,IDE cartographic layers page,https://ide.inei.gob.pe/,1,2026-08-12T05:54:18Z,HEAD,200,1.854,0,SUCCESS,,text/html
C.2,INEI,IDE Distrito.rar,https://ide.inei.gob.pe/files/Distrito.rar,1,2026-08-12T05:54:20Z,HEAD,200,0.041,0,SUCCESS,,application/x-rar-compressed
