UBIGEO,district_polygon_area_m2,minimum_valid_raster_support_fraction,minimum_valid_pixels,NOMBPROV,NOMBDIST,COASTAL_PROVINCE_FLAG,STATUS
200101,194559781.23193872,1.0,16,PIURA,PIURA,False,PASS
200104,651335043.1665405,1.0,36,PIURA,CASTILLA,False,PASS
200105,2268347998.562726,0.9999982691798365,106,PIURA,CATACAOS,False,PASS
200107,215642049.8728908,0.9999988120004618,12,PIURA,CURA MORI,False,PASS
200108,100155687.10066693,1.0,10,PIURA,EL TALLAN,False,PASS
200109,169856325.61880985,1.0,15,PIURA,LA ARENA,False,PASS
200110,318303976.36946326,0.9999949137691546,25,PIURA,LA UNION,False,PASS
200111,552653389.7327626,1.0,33,PIURA,LAS LOMAS,False,PASS
200114,1484416069.3454156,0.9999989712358045,71,PIURA,TAMBO GRANDE,False,PASS
200201,1563476535.217629,1.0,74,AYABACA,AYABACA,False,PASS
200202,559903905.6904961,1.0,32,AYABACA,FRIAS,False,PASS
200203,97107193.53407267,0.9999999996871074,11,AYABACA,JILILI,False,PASS
200204,189370332.26956093,1.0,15,AYABACA,LAGUNAS,False,PASS
200205,131166767.2820248,0.999999999980341,12,AYABACA,MONTERO,False,PASS
200206,962796631.7610093,0.9999999999598396,50,AYABACA,PACAIPAMPA,False,PASS
200207,323042223.26341176,0.9999999999115363,22,AYABACA,PAIMAS,False,PASS
200208,275280834.31250876,0.9999999999982084,19,AYABACA,SAPILLICA,False,PASS
200209,34135051.97061862,1.0,6,AYABACA,SICCHEZ,False,PASS
200210,1069606136.3500563,0.9999999999352966,54,AYABACA,SUYO,False,PASS
200301,443586648.4386151,1.0,29,HUANCABAMBA,HUANCABAMBA,False,PASS
200302,311514002.8114764,1.0,22,HUANCABAMBA,CANCHAQUE,False,PASS
200303,656483040.7083707,1.0,37,HUANCABAMBA,EL CARMEN DE LA FRONTERA,False,PASS
200304,1912604759.8899853,0.9999999999657191,87,HUANCABAMBA,HUARMACA,False,PASS
200305,145878217.27116576,0.9999999997646832,13,HUANCABAMBA,LALAQUIZ,False,PASS
200306,207443735.88500342,0.9999999998763245,16,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,False,PASS
200307,343017380.6612949,1.0,21,HUANCABAMBA,SONDOR,False,PASS
200308,228744911.2900924,1.0,17,HUANCABAMBA,SONDORILLO,False,PASS
200401,835287721.9938935,0.9999996438026861,49,MORROPON,CHULUCANAS,False,PASS
200402,247554383.64203253,0.9999999999811295,17,MORROPON,BUENOS AIRES,False,PASS
200403,149067537.33373794,0.9999999995489153,14,MORROPON,CHALACO,False,PASS
200404,982160121.5230391,1.0,49,MORROPON,LA MATANZA,False,PASS
200405,172172978.8921083,0.9999999999467188,13,MORROPON,MORROPON,False,PASS
200406,608612583.423236,0.9999999999546041,38,MORROPON,SALITRAL,False,PASS
200407,250379249.39744285,1.0,16,MORROPON,SAN JUAN DE BIGOTE,False,PASS
200408,80398531.95693818,0.9999999999018107,7,MORROPON,SANTA CATALINA DE MOSSA,False,PASS
200409,189577867.73513252,1.0,17,MORROPON,SANTO DOMINGO,False,PASS
200410,218515096.13640484,1.0,20,MORROPON,YAMANGO,False,PASS
200502,63872211.546237715,1.0,8,PAITA,AMOTAPE,True,PASS
200503,8290783.180264206,1.0,2,PAITA,ARENAL,True,PASS
200504,122420879.78449504,0.9999998506875509,13,PAITA,COLAN,True,PASS
200505,574890271.5124394,0.9999978436874754,33,PAITA,LA HUACA,True,PASS
200506,64802454.16227768,1.0,8,PAITA,TAMARINDO,True,PASS
200507,157672223.4535248,1.0,13,PAITA,VICHAYAL,True,PASS
200601,525250475.0667606,0.9999995348312478,36,SULLANA,SULLANA,False,PASS
200603,187834689.86112517,1.0,15,SULLANA,IGNACIO ESCUDERO,False,PASS
200605,1646898786.0169249,0.9999999997259481,80,SULLANA,MARCAVELICA,False,PASS
200606,476375693.5493182,1.0,30,SULLANA,MIGUEL CHECA,False,PASS
200607,277054554.5526106,0.9999999999270927,18,SULLANA,QUERECOTILLO,False,PASS
200608,31255798.905897412,0.9999999997384721,5,SULLANA,SALITRAL,False,PASS
200801,5627281680.032537,0.999998138112645,226,SECHURA,SECHURA,True,PASS
200802,13766144.118872382,0.9999999999957034,2,SECHURA,BELLAVISTA DE LA UNION,True,PASS
200803,71164644.09395638,0.9999997670953767,8,SECHURA,BERNAL,True,PASS
200804,262982771.6472387,0.9999977844651802,18,SECHURA,CRISTO NOS VALGA,True,PASS
200805,258918425.32807523,1.0,16,SECHURA,VICE,True,PASS
200806,19861045.254391994,0.9999999999931539,3,SECHURA,RINCONADA LLICUAR,True,PASS
