UBIGEO,VARIABLE,YEAR,MONTH,processed_value,independent_value,absolute_difference,relative_difference,independent_valid_pixels,PASS
200304,TMAX,2023,8,27.213943521991133,27.21394352199114,7.105427357601002e-15,2.6109510192299857e-16,87,True
200502,TMIN,2023,8,19.62966882745697,19.62966882745697,0.0,0.0,8,True
200801,RAIN,2023,3,93.01690547623937,93.01690547623924,1.2789769243681803e-13,1.3749940592195765e-15,226,True
200504,RAIN,2023,8,3.417403267181727,3.4174032671817276,4.440892098500626e-16,1.2994931388834751e-16,13,True
200301,TMIN,2017,3,14.38941041453825,14.389410414538254,3.552713678800501e-15,2.468977933391238e-16,29,True
200105,RAIN,2017,8,0.2163628358530881,0.21636283585308816,5.551115123125783e-17,2.565650935956039e-16,106,True
200608,TMIN,2023,3,24.11115803575011,24.111158035750112,3.552713678800501e-15,1.4734728516700939e-16,5,True
200105,TMAX,2017,8,27.563951205288582,27.563951205288582,0.0,0.0,106,True
200307,RAIN,2017,8,15.510993613512547,15.510993613512547,0.0,0.0,21,True
200605,TMIN,2017,8,18.02628115147417,18.026281151474173,3.552713678800501e-15,1.9708522511921235e-16,80,True
200504,TMAX,2017,3,30.688456859963566,30.68845685996357,3.552713678800501e-15,1.157671008031493e-16,13,True
200801,TMAX,2017,3,29.09027726103054,29.09027726103059,4.973799150320701e-14,1.7097805929074536e-15,226,True
200503,RAIN,2017,8,0.19182558177748002,0.19182558177748002,0.0,0.0,2,True
200802,RAIN,2023,3,93.82004743017536,93.82004743017536,0.0,0.0,2,True
200605,RAIN,2017,8,0.019628792489468746,0.01962879248946874,6.938893903907228e-18,3.5350589740199705e-16,80,True
200308,RAIN,2023,3,326.2760774034954,326.27607740349526,1.1368683772161603e-13,3.4843755210720855e-16,17,True
200802,TMAX,2017,3,31.92205117675211,31.92205117675211,0.0,0.0,2,True
200303,TMIN,2023,8,13.846911186253378,13.846911186253372,5.329070518200751e-15,3.8485626480302877e-16,37,True
200504,RAIN,2017,3,352.5214244852415,352.5214244852415,0.0,0.0,13,True
200301,TMAX,2023,8,23.95538629897373,23.955386298973732,3.552713678800501e-15,1.4830542219027805e-16,29,True
200308,TMIN,2023,3,15.312031811758546,15.312031811758548,1.7763568394002505e-15,1.160105243535437e-16,17,True
200304,TMAX,2017,3,26.17326055694737,26.173260556947362,7.105427357601002e-15,2.7147658359726046e-16,87,True
200507,TMAX,2023,3,31.900378253084376,31.900378253084366,1.0658141036401503e-14,3.341070426138596e-16,13,True
200801,RAIN,2017,3,335.34572243515004,335.3457224351497,3.410605131648481e-13,1.017041489863653e-15,226,True
200802,TMIN,2017,8,19.28878747884801,19.28878747884801,0.0,0.0,2,True
200504,TMAX,2023,8,26.525000949406493,26.525000949406497,3.552713678800501e-15,1.3393830543406613e-16,13,True
200507,TMIN,2017,3,26.090949175271508,26.090949175271504,3.552713678800501e-15,1.36166517167865e-16,13,True
200502,RAIN,2017,8,0.18291443046975933,0.1829144304697593,2.7755575615628914e-17,1.5174076503612794e-16,8,True
200504,TMIN,2023,3,25.398524461257168,25.39852446125717,3.552713678800501e-15,1.3987874312225498e-16,13,True
200502,TMIN,2023,3,23.843742547393973,23.843742547393973,0.0,0.0,8,True
200303,RAIN,2023,3,267.11089653440905,267.110896534409,5.684341886080802e-14,2.1280831144784647e-16,37,True
200802,TMIN,2023,3,25.775890353462245,25.775890353462245,0.0,0.0,2,True
200303,RAIN,2017,8,31.657042429063665,31.657042429063655,1.0658141036401503e-14,3.3667519826856875e-16,37,True
200507,RAIN,2017,3,326.4430077914728,326.4430077914728,0.0,0.0,13,True
200307,RAIN,2023,3,307.08456773895546,307.08456773895546,0.0,0.0,21,True
200608,TMIN,2023,8,20.64601625803895,20.646016258038944,7.105427357601002e-15,3.4415488532003637e-16,5,True
