UBIGEO,VARIABLE,N_INTERSECTING_PIXELS_STATIC,TOTAL_OVERLAP_AREA_M2,DISTRICT_AREA_M2,TOTAL_OVERLAP_AREA_FRACTION
200101,RAIN,16,194560006.80337983,194559781.23193872,1.0000011593939904
200104,RAIN,36,651336541.3914504,651335043.1665405,1.0000023002369143
200105,RAIN,106,2268344072.4602723,2268347998.562726,0.9999982691798365
200107,RAIN,12,215641793.69549754,215642049.8728908,0.9999988120248653
200108,RAIN,10,100155891.27531198,100155687.10066693,1.0000020385726558
200109,RAIN,15,169856331.0866511,169856325.61880985,1.0000000321909779
200110,RAIN,25,318302357.40196043,318303976.36946326,0.9999949137691546
200111,RAIN,33,552653389.741161,552653389.7327626,1.0000000000151965
200114,RAIN,71,1484414542.2313783,1484416069.3454156,0.999998971235849
200201,RAIN,74,1563476549.4525917,1563476535.217629,1.000000009104686
200202,RAIN,32,559903905.941759,559903905.6904961,1.0000000004487608
200203,RAIN,11,97107193.50368854,97107193.53407267,0.9999999996871074
200204,RAIN,15,189370332.29674256,189370332.26956093,1.000000000143537
200205,RAIN,12,131166767.27944618,131166767.2820248,0.999999999980341
200206,RAIN,50,962796631.7225689,962796631.7610093,0.9999999999600742
200207,RAIN,22,323042223.235031,323042223.26341176,0.9999999999121454
200208,RAIN,19,275280834.31204516,275280834.31250876,0.9999999999983159
200209,RAIN,6,34135051.97119436,34135051.97061862,1.0000000000168665
200210,RAIN,54,1069606136.2808492,1069606136.3500563,0.9999999999352966
200301,RAIN,29,443586648.4798715,443586648.4386151,1.0000000000930065
200302,RAIN,22,311514002.83199793,311514002.8114764,1.0000000000658766
200303,RAIN,37,656483040.8102189,656483040.7083707,1.0000000001551423
200304,RAIN,87,1912604759.8246388,1912604759.8899853,0.9999999999658338
200305,RAIN,13,145878217.23683816,145878217.27116576,0.9999999997646832
200306,RAIN,16,207443735.8593477,207443735.88500342,0.9999999998763245
200307,RAIN,21,343017380.7101741,343017380.6612949,1.0000000001424978
200308,RAIN,17,228744911.30403647,228744911.2900924,1.000000000060959
200401,RAIN,49,835287424.4709942,835287721.9938935,0.9999996438078863
200402,RAIN,17,247554383.63737103,247554383.64203253,0.9999999999811698
200403,RAIN,14,149067537.26649585,149067537.33373794,0.9999999995489153
200404,RAIN,49,982160234.8649956,982160121.5230391,1.0000001154006908
200405,RAIN,13,172172978.88293472,172172978.8921083,0.9999999999467188
200406,RAIN,38,608612583.3956075,608612583.423236,0.9999999999546041
200407,RAIN,16,250379249.41455835,250379249.39744285,1.0000000000683582
200408,RAIN,7,80398531.9490439,80398531.95693818,0.9999999999018107
200409,RAIN,17,189577867.7467762,189577867.73513252,1.0000000000614189
200410,RAIN,20,218515096.2115692,218515096.13640484,1.0000000003439777
200502,RAIN,8,63872527.08787359,63872211.546237715,1.0000049402021354
200503,RAIN,2,8290783.186076757,8290783.180264206,1.0000000007010859
200504,RAIN,13,122420861.50572534,122420879.78449504,0.9999998506891167
200505,RAIN,33,574889031.8741219,574890271.5124394,0.9999978436957818
200506,RAIN,8,64802570.110446185,64802454.16227768,1.0000017892558237
