UBIGEO,COD_CULTIVO,CULTIVO,ANO,MES,SIEMBRA,COSECHA,PRODUCCION,VERDE_ACTUAL,PRECIO_CHACRA
200101,13020120000,VID,2017,201708,0.0,0.0,0.0,,0.0
200601,14030210000,TOMATE,2021,202109,3.0,,0.0,3.0,0.0
200101,12010010000,ALFALFA,2024,202401,0.0,,10.0,6.0,0.82
200101,13010450000,CIRUELO (CIRUELA SPONDIAS),2024,202401,0.0,,0.0,30.0,0.0
200101,13010070000,COCOTERO,2024,202401,0.0,,2.0,2.0,3.2
200101,15010010000,ESPARRAGO,2024,202401,0.0,,0.0,87.0,0.0
200101,15010150000,GIRASOL,2024,202401,0.0,,0.0,203.0,0.0
200101,13010110000,GUANABANO,2024,202401,0.0,,0.0,1.0,0.0
200101,13010130000,GUAYABO,2024,202401,0.0,,0.0,10.0,0.0
200101,13010140000,HIGUERA,2024,202401,0.0,,0.0,2.0,0.0
