ANO,VARIABLE,N,N_MISSING,PCT_MISSING
2016,PRODUCCION,223,0,0.0
2016,COSECHA,223,0,0.0
2016,SIEMBRA,223,0,0.0
2016,PRECIO,223,14,6.278026905829597
2016,VERDE_ACTUAL,223,0,0.0
2016,YIELD_RAW,223,14,6.278026905829597
2017,PRODUCCION,223,0,0.0
2017,COSECHA,223,0,0.0
2017,SIEMBRA,223,0,0.0
2017,PRECIO,223,16,7.174887892376682
2017,VERDE_ACTUAL,223,0,0.0
2017,YIELD_RAW,223,16,7.174887892376682
2018,PRODUCCION,220,0,0.0
2018,COSECHA,220,0,0.0
2018,SIEMBRA,220,0,0.0
2018,PRECIO,220,16,7.2727272727272725
2018,VERDE_ACTUAL,220,0,0.0
2018,YIELD_RAW,220,16,7.2727272727272725
2019,PRODUCCION,225,0,0.0
2019,COSECHA,225,0,0.0
2019,SIEMBRA,225,0,0.0
2019,PRECIO,225,16,7.111111111111111
2019,VERDE_ACTUAL,225,0,0.0
2019,YIELD_RAW,225,16,7.111111111111111
2020,PRODUCCION,224,0,0.0
2020,COSECHA,224,0,0.0
2020,SIEMBRA,224,0,0.0
2020,PRECIO,224,11,4.910714285714286
2020,VERDE_ACTUAL,224,0,0.0
2020,YIELD_RAW,224,11,4.910714285714286
2021,PRODUCCION,225,0,0.0
2021,COSECHA,225,0,0.0
2021,SIEMBRA,225,0,0.0
2021,PRECIO,225,14,6.222222222222222
2021,VERDE_ACTUAL,225,0,0.0
2021,YIELD_RAW,225,14,6.222222222222222
2022,PRODUCCION,232,0,0.0
2022,COSECHA,232,0,0.0
2022,SIEMBRA,232,0,0.0
2022,PRECIO,232,9,3.8793103448275863
2022,VERDE_ACTUAL,232,0,0.0
2022,YIELD_RAW,232,9,3.8793103448275863
2023,PRODUCCION,236,0,0.0
2023,COSECHA,236,0,0.0
2023,SIEMBRA,236,0,0.0
2023,PRECIO,236,11,4.661016949152542
2023,VERDE_ACTUAL,236,0,0.0
2023,YIELD_RAW,236,11,4.661016949152542
