UBIGEO,COD_CULTIVO,ANO,present_in_panel_master
200101,13010170102,2023,True
200101,14010020000,2022,True
200101,15010040000,2016,True
200101,15010040000,2017,True
200104,15010040000,2016,True
200104,15010040000,2018,True
200104,15010040000,2019,True
200105,13010210000,2018,True
200105,14010020000,2017,True
200105,14010020000,2020,True
200105,14010070000,2017,True
200105,14010070000,2019,True
200105,14010070000,2020,True
200105,14010070000,2021,True
200105,14010070000,2022,True
200107,14010070000,2022,True
200108,14010070000,2021,True
200108,14010070000,2022,True
200109,14010070000,2022,True
200109,14010070000,2023,True
